# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
6e-05          	0.0000000e+00
0.000132       	8.1662851e-04
0.0002184      	9.8769943e-04
0.00032208     	2.0126028e-03
0.000446496    	2.4387685e-03
0.000595795    	3.7763375e-03
0.000774954    	4.5880599e-03
0.000989945    	6.4024407e-03
0.00124793     	7.8076889e-03
0.00155752     	1.0365274e-02
0.00192903     	1.2706673e-02
0.00237483     	1.6451936e-02
0.0029098      	2.0310597e-02
0.00355176     	2.6013849e-02
0.00429766     	3.2401345e-02
0.00475367     	4.0508372e-02
0.00497034     	4.1594444e-02
0.00518395     	4.5118998e-02
0.00542139     	4.6248624e-02
0.00568505     	5.0381772e-02
0.00595404     	5.2170124e-02
0.0062143      	5.6519547e-02
0.0064687      	5.8229800e-02
0.00672407     	6.2562594e-02
0.00698341     	6.4410379e-02
0.00724555     	6.8948890e-02
0.00750815     	7.0971470e-02
0.00777023     	7.5634541e-02
0.0080321      	7.7759977e-02
0.0082944      	8.2534542e-02
0.00855734     	8.4787911e-02
0.00882082     	8.9696266e-02
0.00908464     	9.2082010e-02
0.00934862     	9.7119062e-02
0.00961275     	9.9633292e-02
0.00987705     	1.0479404e-01
0.0101415      	1.0743382e-01
0.0104062      	1.1271635e-01
0.0106709      	1.1547849e-01
0.0109358      	1.2088558e-01
0.0112007      	1.2377300e-01
0.0114658      	1.2930515e-01
0.0117309      	1.3231862e-01
0.0119961      	1.3797653e-01
0.0122614      	1.4111664e-01
0.0125268      	1.4690917e-01
0.0127923      	1.5017707e-01
0.0130547      	1.5608407e-01
0.0133104      	1.5935285e-01
0.0135598      	1.6513346e-01
0.0138031      	1.6829131e-01
0.0140406      	1.7396372e-01
0.0142724      	1.7700928e-01
0.0144989      	1.8258059e-01
0.0147204      	1.8552442e-01
0.0149373      	1.9099847e-01
0.0151497      	1.9385064e-01
0.0153579      	1.9923080e-01
0.0155621      	2.0199743e-01
0.0157624      	2.0729742e-01
0.0159592      	2.0998817e-01
0.0161525      	2.1521465e-01
0.0163424      	2.1783569e-01
0.0165292      	2.2299438e-01
0.016713       	2.2555109e-01
0.0168938      	2.3064699e-01
0.0170719      	2.3314403e-01
0.0172473      	2.3818470e-01
0.0174201      	2.4063084e-01
0.0175903      	2.4561689e-01
0.0177582      	2.4801109e-01
0.0179238      	2.5294599e-01
0.0180872      	2.5529153e-01
0.0182484      	2.6017429e-01
0.0184075      	2.6247057e-01
0.0185646      	2.6730809e-01
0.0187197      	2.6956134e-01
0.0188729      	2.7435611e-01
0.0190244      	2.7656870e-01
0.019174       	2.8132418e-01
0.0193219      	2.8350447e-01
0.0194682      	2.8822147e-01
0.0196128      	2.9036519e-01
0.0197558      	2.9504559e-01
0.0198973      	2.9715455e-01
0.0200373      	3.0180008e-01
0.0201759      	3.0387400e-01
0.020313       	3.0848098e-01
0.0204487      	3.1052338e-01
0.0205831      	3.1509858e-01
0.0207162      	3.1711087e-01
0.020848       	3.2165565e-01
0.0209786      	3.2363912e-01
0.0211079      	3.2815474e-01
0.0212361      	3.3011062e-01
0.0213631      	3.3459823e-01
0.021489       	3.3652763e-01
0.0216137      	3.4098833e-01
0.0217374      	3.4289231e-01
0.02186        	3.4732709e-01
0.0219815      	3.4920663e-01
0.0221021      	3.5361645e-01
0.0222216      	3.5547828e-01
0.0223402      	3.5986504e-01
0.0224579      	3.6170417e-01
0.0225745      	3.6606764e-01
0.0226903      	3.6788488e-01
0.0228052      	3.7222585e-01
0.0229192      	3.7402196e-01
0.0230323      	3.7834116e-01
0.0231446      	3.8011495e-01
0.0232561      	3.8440830e-01
0.0233667      	3.8616239e-01
0.0234765      	3.9043535e-01
0.0235856      	3.9217038e-01
0.0236939      	3.9642359e-01
0.0238014      	3.9814017e-01
0.0239082      	4.0237420e-01
0.0240142      	4.0407290e-01
0.0241196      	4.0828831e-01
0.0242242      	4.0996967e-01
0.0243281      	4.1416698e-01
0.0244314      	4.1583152e-01
0.024534       	4.2001124e-01
0.0246359      	4.2165946e-01
0.0247372      	4.2582206e-01
0.0248378      	4.2745441e-01
0.0249378      	4.3160035e-01
0.0250372      	4.3321729e-01
0.025136       	4.3734940e-01
0.0252341      	4.3895534e-01
0.0253317      	4.4307160e-01
0.0254287      	4.4466292e-01
0.0255252      	4.4876374e-01
0.025621       	4.5034084e-01
0.0257163      	4.5442658e-01
0.0258111      	4.5598982e-01
0.0259053      	4.6006085e-01
0.025999       	4.6161059e-01
0.0260921      	4.6566726e-01
0.0261848      	4.6719764e-01
0.0262769      	4.7124022e-01
0.0263686      	4.7275780e-01
0.0264597      	4.7678669e-01
0.0265503      	4.7829176e-01
0.0266405      	4.8230726e-01
0.0267302      	4.8380014e-01
0.0268194      	4.8780255e-01
0.0269082      	4.8928352e-01
0.0269965      	4.9327311e-01
0.0270843      	4.9474245e-01
0.0271717      	4.9872537e-01
0.0272587      	5.0018357e-01
0.0273452      	5.0415419e-01
0.0274313      	5.0560125e-01
0.027517       	5.0955981e-01
0.0276022      	5.1099599e-01
0.0276871      	5.1494273e-01
0.0277715      	5.1636827e-01
0.0278555      	5.2030342e-01
0.0279391      	5.2171854e-01
0.0280224      	5.2564233e-01
0.0281052      	5.2704564e-01
0.0281877      	5.3095390e-01
0.0282698      	5.3234725e-01
0.0283515      	5.3624460e-01
0.0284328      	5.3762819e-01
0.0285138      	5.4151482e-01
0.0285944      	5.4288887e-01
0.0286746      	5.4676497e-01
0.0287545      	5.4812966e-01
0.0288341      	5.5199543e-01
0.0289133      	5.5335094e-01
0.0289921      	5.5720657e-01
0.0290707      	5.5855308e-01
0.0291488      	5.6239873e-01
0.0292267      	5.6373642e-01
0.0293042      	5.6757227e-01
0.0293814      	5.6890131e-01
0.0294583      	5.7272753e-01
0.0295348      	5.7404807e-01
0.0296111      	5.7786482e-01
0.029687       	5.7917703e-01
0.0297626      	5.8298445e-01
0.029838       	5.8428849e-01
0.029913       	5.8808674e-01
0.0299877      	5.8938276e-01
0.0300621      	5.9317199e-01
0.0301362      	5.9446493e-01
0.0302101      	5.9824622e-01
0.0302836      	5.9953140e-01
0.0303569      	6.0330393e-01
0.0304299      	6.0458149e-01
0.0305026      	6.0834540e-01
0.030575       	6.0961547e-01
0.0306472      	6.1337088e-01
0.0307191      	6.1463359e-01
0.0307907      	6.1838063e-01
0.030862       	6.1963612e-01
0.0309331      	6.2337491e-01
0.0310039      	6.2462328e-01
0.0310745      	6.2835364e-01
0.0311448      	6.2958968e-01
0.0312149      	6.3331204e-01
