# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
6e-05          	0.0000000e+00
0.000132       	8.1620894e-04
0.0002184      	9.8653814e-04
0.00032208     	2.0098953e-03
0.000446496    	2.4334907e-03
0.000595795    	3.7667816e-03
0.000774954    	4.5716785e-03
0.000989945    	6.3754686e-03
0.00124793     	7.7642646e-03
0.00155752     	1.0297001e-02
0.00192903     	1.2600422e-02
0.00237483     	1.6288882e-02
0.0029098      	2.0061458e-02
0.00355176     	2.5636117e-02
0.00429765     	3.1839390e-02
0.00475382     	3.9892677e-02
0.00497048     	4.0907993e-02
0.00518408     	4.4370063e-02
0.00542151     	4.5406084e-02
0.00568516     	4.9450260e-02
0.00595414     	5.1130354e-02
0.0062144      	5.5386515e-02
0.00646879     	5.6982185e-02
0.00672414     	6.1210515e-02
0.00698347     	6.2929087e-02
0.0072456      	6.7349549e-02
0.0075082      	6.9230656e-02
0.00777027     	7.3764619e-02
0.00803213     	7.5736459e-02
0.00829441     	8.0369418e-02
0.00855734     	8.2455798e-02
0.00882083     	8.7209676e-02
0.00908463     	8.9415084e-02
0.00934861     	9.4284559e-02
0.00961272     	9.6604610e-02
0.00987701     	1.0158427e-01
0.0101415      	1.0401568e-01
0.0104061      	1.0910330e-01
0.0106708      	1.1164257e-01
0.0109356      	1.1684044e-01
0.0112005      	1.1949001e-01
0.0114655      	1.2479837e-01
0.0117307      	1.2755882e-01
0.0119958      	1.3297805e-01
0.0122611      	1.3584950e-01
0.0125265      	1.4138803e-01
0.0127919      	1.4437126e-01
0.0130543      	1.5001500e-01
0.0133099      	1.5299715e-01
0.0135591      	1.5851371e-01
0.0138025      	1.6138397e-01
0.01404        	1.6679459e-01
0.0142718      	1.6955306e-01
0.0144983      	1.7486285e-01
0.0147199      	1.7751942e-01
0.0149367      	1.8273219e-01
0.0151492      	1.8529696e-01
0.0153574      	1.9041608e-01
0.0155616      	1.9289514e-01
0.0157619      	1.9793433e-01
0.0159587      	2.0033736e-01
0.016152       	2.0530324e-01
0.0163419      	2.0763644e-01
0.0165288      	2.1253476e-01
0.0167125      	2.1480349e-01
0.0168934      	2.1963923e-01
0.0170714      	2.2184819e-01
0.0172468      	2.2662886e-01
0.0174196      	2.2878684e-01
0.0175899      	2.3351310e-01
0.0177578      	2.3561902e-01
0.0179234      	2.4029432e-01
0.0180867      	2.4235147e-01
0.0182479      	2.4697483e-01
0.0184071      	2.4898262e-01
0.0185642      	2.5356092e-01
0.0187193      	2.5552558e-01
0.0188726      	2.6006130e-01
0.019024       	2.6198521e-01
0.0191736      	2.6648181e-01
0.0193216      	2.6837335e-01
0.0194678      	2.7283163e-01
0.0196124      	2.7468652e-01
0.0197555      	2.7910837e-01
0.019897       	2.8092841e-01
0.020037       	2.8531555e-01
0.0201755      	2.8710049e-01
0.0203126      	2.9144922e-01
0.0204484      	2.9320255e-01
0.0205828      	2.9751966e-01
0.0207159      	2.9924281e-01
0.0208477      	3.0352965e-01
0.0209783      	3.0522391e-01
0.0211076      	3.0948174e-01
0.0212358      	3.1114832e-01
0.0213628      	3.1537829e-01
0.0214886      	3.1701833e-01
0.0216134      	3.2122152e-01
0.021737       	3.2283606e-01
0.0218597      	3.2701349e-01
0.0219812      	3.2860352e-01
0.0221018      	3.3275612e-01
0.0222213      	3.3432836e-01
0.0223399      	3.3845804e-01
0.0224576      	3.4000752e-01
0.0225742      	3.4411405e-01
0.02269        	3.4564157e-01
0.0228049      	3.4972574e-01
0.0229189      	3.5123207e-01
0.023032       	3.5529459e-01
0.0231443      	3.5677854e-01
0.0232558      	3.6081533e-01
0.0233664      	3.6227952e-01
0.0234763      	3.6629605e-01
0.0235853      	3.6774112e-01
0.0236936      	3.7173801e-01
0.0238011      	3.7316458e-01
0.0239079      	3.7714241e-01
0.024014       	3.7855104e-01
0.0241193      	3.8251037e-01
0.0242239      	3.8390160e-01
0.0243279      	3.8784295e-01
0.0244311      	3.8921731e-01
0.0245337      	3.9314119e-01
0.0246356      	3.9449916e-01
0.0247369      	3.9840604e-01
0.0248375      	3.9974809e-01
0.0249375      	4.0363842e-01
0.0250369      	4.0496500e-01
0.0251357      	4.0884159e-01
0.0252339      	4.1015714e-01
0.0253315      	4.1401800e-01
0.0254285      	4.1531888e-01
0.0255249      	4.1916440e-01
0.0256208      	4.2045100e-01
0.0257161      	4.2428155e-01
0.0258108      	4.2555425e-01
0.0259051      	4.2937019e-01
0.0259987      	4.3062934e-01
0.0260919      	4.3443102e-01
0.0261846      	4.3567078e-01
0.0262767      	4.3945846e-01
0.0263683      	4.4068536e-01
0.0264595      	4.4445946e-01
0.0265501      	4.4567381e-01
0.0266403      	4.4943462e-01
0.02673        	4.5063673e-01
0.0268192      	4.5438454e-01
0.0269079      	4.5557470e-01
0.0269962      	4.5930978e-01
0.0270841      	4.6048826e-01
0.0271715      	4.6421677e-01
0.0272584      	4.6538408e-01
0.027345       	4.6910037e-01
0.0274311      	4.7025651e-01
0.0275167      	4.7396083e-01
0.027602       	4.7510604e-01
0.0276868      	4.7879865e-01
0.0277713      	4.7993317e-01
0.0278553      	4.8361427e-01
0.0279389      	4.8473834e-01
0.0280222      	4.8840817e-01
0.028105       	4.8952040e-01
0.0281875      	4.9317478e-01
0.0282696      	4.9427700e-01
0.0283513      	4.9792056e-01
0.0284326      	4.9901298e-01
0.0285136      	5.0264592e-01
0.0285942      	5.0372875e-01
0.0286744      	5.0735125e-01
0.0287543      	5.0842468e-01
0.0288339      	5.1203694e-01
0.0289131      	5.1310115e-01
0.0289919      	5.1670335e-01
0.0290705      	5.1775852e-01
0.0291486      	5.2135083e-01
0.0292265      	5.2239715e-01
0.029304       	5.2597974e-01
0.0293812      	5.2701737e-01
0.0294581      	5.3059041e-01
0.0295346      	5.3161951e-01
0.0296109      	5.3518315e-01
0.0296868      	5.3620389e-01
0.0297624      	5.3975829e-01
0.0298378      	5.4077081e-01
0.0299128      	5.4431613e-01
0.0299875      	5.4532059e-01
0.0300619      	5.4885697e-01
0.0301361      	5.4985830e-01
0.0302099      	5.5338683e-01
0.0302834      	5.5438038e-01
0.0303567      	5.5790023e-01
0.0304297      	5.5888611e-01
0.0305024      	5.6239742e-01
0.0305748      	5.6337578e-01
0.030647       	5.6687866e-01
0.0307189      	5.6784963e-01
0.0307905      	5.7134423e-01
0.0308618      	5.7230793e-01
0.0309329      	5.7579436e-01
0.0310038      	5.7675091e-01
0.0310743      	5.8022899e-01
0.0311446      	5.8117317e-01
0.0312147      	5.8464333e-01
0.0312845      	5.8558061e-01
0.0313541      	5.8904296e-01
0.0314234      	5.8997346e-01
0.0314924      	5.9342813e-01
0.0315613      	5.9435196e-01
0.0316298      	5.9779903e-01
0.0316982      	5.9871629e-01
0.0317663      	6.0215588e-01
0.0318342      	6.0306669e-01
0.0319018      	6.0649890e-01
0.0319692      	6.0740335e-01
0.0320364      	6.1082827e-01
0.0321034      	6.1172646e-01
0.0321701      	6.1514419e-01
0.0322366      	6.1603622e-01
0.0323029      	6.1944686e-01
0.032369       	6.2033282e-01
0.0324348      	6.2373646e-01
0.0325005      	6.2461644e-01
0.0325659      	6.2801317e-01
0.0326311      	6.2888726e-01
0.0326961      	6.3227717e-01
0.0327609      	6.3314547e-01
0.0328255      	6.3652863e-01
0.0328899      	6.3739121e-01
0.0329541      	6.4076772e-01
0.0330181      	6.4162467e-01
0.0330819      	6.4499615e-01
0.0331454      	6.4585145e-01
0.0332088      	6.4921642e-01
0.033272       	6.5006624e-01
0.033335       	6.5342477e-01
0.0333978      	6.5426919e-01
0.0334604      	6.5762137e-01
0.0335229      	6.5846046e-01
0.0335851      	6.6180637e-01
0.0336472      	6.6264021e-01
0.033709       	6.6597990e-01
0.0337707      	6.6680856e-01
0.0338322      	6.7014213e-01
0.0338935      	6.7096567e-01
0.0339547      	6.7429317e-01
0.0340156      	6.7511168e-01
0.0340764      	6.7843181e-01
0.034137       	6.7924139e-01
0.0341974      	6.8255560e-01
0.0342577      	6.8336028e-01
0.0343178      	6.8666863e-01
0.0343777      	6.8746849e-01
0.0344375      	6.9077106e-01
0.034497       	6.9156615e-01
0.0345564      	6.9486299e-01
0.0346157      	6.9565339e-01
0.0346748      	6.9894456e-01
0.0347337      	6.9973032e-01
0.0347925      	7.0301589e-01
0.034851       	7.0379707e-01
0.0349095      	7.0707709e-01
0.0349678      	7.0785375e-01
0.0350259      	7.1112828e-01
0.0350838      	7.1190282e-01
0.0351416      	7.1517481e-01
0.0351993      	7.1594494e-01
0.0352568      	7.1921155e-01
0.0353141      	7.1997731e-01
0.0353713      	7.2323859e-01
0.0354284      	7.2400004e-01
0.0354853      	7.2725604e-01
0.035542       	7.2801325e-01
0.0355986      	7.3126401e-01
0.035655       	7.3201702e-01
0.0357113      	7.3526260e-01
0.0357675      	7.3601147e-01
0.0358235      	7.3925192e-01
0.0358794      	7.3999669e-01
0.0359351      	7.4323207e-01
0.0359907      	7.4397278e-01
0.0360462      	7.4720313e-01
0.0361015      	7.4793556e-01
0.0361566      	7.5116007e-01
0.0362117      	7.5188856e-01
0.0362666      	7.5510814e-01
0.0363213      	7.5583274e-01
