# Region type : patch Lc1
# Faces        : 121
# Area         : 2.4367446e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	7.6311134e-11
0.000132       	1.6854850e-10
0.0002184      	2.7961555e-10
0.00032208     	4.1438987e-10
0.000446496    	5.7776532e-10
0.000595795    	7.7760850e-10
0.000774954    	1.0221496e-09
0.000989945    	1.3244712e-09
0.00124793     	1.6991357e-09
0.00155752     	2.1688585e-09
0.00192903     	2.7602342e-09
0.00237483     	3.5139678e-09
0.0029098      	4.4795445e-09
0.00355176     	5.7302509e-09
0.00429766     	7.3031416e-09
0.00475367     	8.3478373e-09
0.00497034     	8.8601735e-09
0.00518395     	9.3785497e-09
0.00542139     	9.9636909e-09
0.00568505     	1.0630065e-08
0.00595404     	1.1321671e-08
0.0062143      	1.2008013e-08
0.0064687      	1.2688837e-08
0.00672407     	1.3387387e-08
0.00698341     	1.4106078e-08
0.00724555     	1.4847115e-08
0.00750815     	1.5598321e-08
0.00777023     	1.6362396e-08
0.0080321      	1.7134044e-08
0.0082944      	1.7920649e-08
0.00855734     	1.8716775e-08
0.00882082     	1.9527817e-08
0.00908464     	2.0347171e-08
0.00934862     	2.1180320e-08
0.00961275     	2.2020681e-08
0.00987705     	2.2874108e-08
0.0101415      	2.3734192e-08
0.0104062      	2.4606675e-08
0.0106709      	2.5485700e-08
0.0109358      	2.6377076e-08
0.0112007      	2.7274770e-08
0.0114658      	2.8184653e-08
0.0117309      	2.9100712e-08
0.0119961      	3.0028847e-08
0.0122614      	3.0963826e-08
0.0125268      	3.1910863e-08
0.0127923      	3.2863972e-08
0.0130547      	3.3817846e-08
0.0133104      	3.4751938e-08
0.0135598      	3.5673777e-08
0.0138031      	3.6578511e-08
0.0140406      	3.7471174e-08
0.0142724      	3.8347787e-08
0.0144989      	3.9213709e-08
0.0147204      	4.0064539e-08
0.0149373      	4.0905952e-08
0.0151497      	4.1733104e-08
0.0153579      	4.2551663e-08
0.0155621      	4.3357664e-08
0.0157624      	4.4156178e-08
0.0159592      	4.4943117e-08
0.0161525      	4.5723305e-08
0.0163424      	4.6492758e-08
0.0165292      	4.7256090e-08
0.016713       	4.8009422e-08
0.0168938      	4.8757190e-08
0.0170719      	4.9495900e-08
0.0172473      	5.0229954e-08
0.0174201      	5.0955213e-08
0.0175903      	5.1675794e-08
0.0177582      	5.2388090e-08
0.0179238      	5.3096085e-08
0.0180872      	5.3795875e-08
0.0182484      	5.4491362e-08
0.0184075      	5.5179427e-08
0.0185646      	5.5863805e-08
0.0187197      	5.6541122e-08
0.0188729      	5.7215009e-08
0.0190244      	5.7882281e-08
0.019174       	5.8546931e-08
0.0193219      	5.9205144e-08
0.0194682      	5.9860353e-08
0.0196128      	6.0509403e-08
0.0197558      	6.1155642e-08
0.0198973      	6.1795978e-08
0.0200373      	6.2433500e-08
0.0201759      	6.3064860e-08
0.020313       	6.3693742e-08
0.0204487      	6.4317169e-08
0.0205831      	6.4938255e-08
0.0207162      	6.5554082e-08
0.020848       	6.6167699e-08
0.0209786      	6.6776243e-08
0.0211079      	6.7382699e-08
0.0212361      	6.7984249e-08
0.0213631      	6.8583816e-08
0.021489       	6.9178631e-08
0.0216137      	6.9771565e-08
0.0217374      	7.0359897e-08
0.02186        	7.0946445e-08
0.0219815      	7.1528534e-08
0.0221021      	7.2109472e-08
0.0222216      	7.2686175e-08
0.0223402      	7.3261254e-08
0.0224579      	7.3832123e-08
0.0225745      	7.4401445e-08
0.0226903      	7.4966676e-08
0.0228052      	7.5530436e-08
0.0229192      	7.6090219e-08
0.0230323      	7.6648421e-08
0.0231446      	7.7202304e-08
0.0232561      	7.7754849e-08
0.0233667      	7.8303622e-08
0.0234765      	7.8851111e-08
0.0235856      	7.9394918e-08
0.0236939      	7.9937496e-08
0.0238014      	8.0476480e-08
0.0239082      	8.1014290e-08
0.0240142      	8.1548594e-08
0.0241196      	8.2081770e-08
0.0242242      	8.2611518e-08
0.0243281      	8.3140182e-08
