# Region type : patch Lc1_sub1
# Faces        : 59
# Area         : 1.1202403e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	2.6378688e-10
0.000132       	5.8125045e-10
0.0002184      	9.6087890e-10
0.00032208     	1.4171198e-09
0.000446496    	1.9627744e-09
0.000595795    	2.6178713e-09
0.000774954    	3.3985603e-09
0.000989945    	4.3291044e-09
0.00124793     	5.4248802e-09
0.00155752     	6.7072465e-09
0.00192903     	8.1769485e-09
0.00237483     	9.8321845e-09
0.0029098      	1.1631638e-08
0.00355176     	1.3526887e-08
0.00429765     	1.5374107e-08
0.00475382     	1.6393430e-08
0.00497048     	1.6828355e-08
0.00518408     	1.7240358e-08
0.00542151     	1.7662705e-08
0.00568516     	1.8114386e-08
0.00595414     	1.8541553e-08
0.0062144      	1.8948019e-08
0.00646879     	1.9321608e-08
0.00672414     	1.9695413e-08
0.00698347     	2.0056737e-08
0.0072456      	2.0425338e-08
0.0075082      	2.0782027e-08
0.00777027     	2.1148567e-08
0.00803213     	2.1507546e-08
0.00829441     	2.1882237e-08
0.00855734     	2.2254635e-08
0.00882083     	2.2646671e-08
0.00908463     	2.3039774e-08
0.00934861     	2.3456041e-08
0.00961272     	2.3874617e-08
0.00987701     	2.4316647e-08
0.0101415      	2.4761031e-08
0.0104061      	2.5228444e-08
0.0106708      	2.5699500e-08
0.0109356      	2.6194518e-08
0.0112005      	2.6692814e-08
0.0114655      	2.7214416e-08
0.0117307      	2.7738401e-08
0.0119958      	2.8284643e-08
0.0122611      	2.8834632e-08
0.0125265      	2.9405571e-08
0.0127919      	2.9976180e-08
0.0130543      	3.0559120e-08
0.0133099      	3.1123070e-08
0.0135591      	3.1689743e-08
0.0138025      	3.2239584e-08
0.01404        	3.2790802e-08
0.0142718      	3.3326574e-08
0.0144983      	3.3862629e-08
0.0147199      	3.4381332e-08
0.0149367      	3.4900073e-08
0.0151492      	3.5400167e-08
0.0153574      	3.5899571e-08
0.0155616      	3.6382852e-08
0.0157619      	3.6866236e-08
0.0159587      	3.7334200e-08
0.016152       	3.7802367e-08
0.0163419      	3.8255737e-08
0.0165288      	3.8709413e-08
0.0167125      	3.9148935e-08
0.0168934      	3.9588953e-08
0.0170714      	4.0016549e-08
0.0172468      	4.0446318e-08
0.0174196      	4.0863201e-08
0.0175899      	4.1280898e-08
0.0177578      	4.1686284e-08
0.0179234      	4.2092685e-08
0.0180867      	4.2486028e-08
0.0182479      	4.2879410e-08
0.0184071      	4.3261542e-08
0.0185642      	4.3645022e-08
0.0187193      	4.4017729e-08
0.0188726      	4.4391959e-08
0.019024       	4.4756268e-08
0.0191736      	4.5124246e-08
0.0193216      	4.5482301e-08
0.0194678      	4.5842109e-08
0.0196124      	4.6192382e-08
0.0197555      	4.6544533e-08
0.019897       	4.6887523e-08
0.020037       	4.7231901e-08
0.0201755      	4.7565748e-08
0.0203126      	4.7901686e-08
0.0204484      	4.8229113e-08
