# Region type : patch Lc1_sub2
# Faces        : 94
# Area         : 1.9053909e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	8.3141041e-11
0.000132       	1.8346612e-10
0.0002184      	3.0398569e-10
0.00032208     	4.4980349e-10
0.000446496    	6.2593206e-10
0.000595795    	8.4043143e-10
0.000774954    	1.1014440e-09
0.000989945    	1.4218902e-09
0.00124793     	1.8154862e-09
0.00155752     	2.3035352e-09
0.00192903     	2.9095549e-09
0.00237483     	3.6692722e-09
0.0029098      	4.6233441e-09
0.00355176     	5.8315458e-09
0.00429766     	7.3136268e-09
0.00475367     	8.2820447e-09
0.00497034     	8.7519409e-09
0.00518395     	9.2247309e-09
0.00542139     	9.7543763e-09
0.00568505     	1.0353961e-08
0.00595404     	1.0971547e-08
0.0062143      	1.1581328e-08
0.0064687      	1.2182190e-08
0.00672407     	1.2795961e-08
0.00698341     	1.3423515e-08
0.00724555     	1.4067908e-08
0.00750815     	1.4717401e-08
0.00777023     	1.5375767e-08
0.0080321      	1.6037216e-08
0.0082944      	1.6709546e-08
0.00855734     	1.7386829e-08
0.00882082     	1.8075167e-08
0.00908464     	1.8767687e-08
0.00934862     	1.9470638e-08
0.00961275     	2.0177037e-08
0.00987705     	2.0893393e-08
0.0101415      	2.1612880e-08
0.0104062      	2.2341915e-08
0.0106709      	2.3074291e-08
0.0109358      	2.3816474e-08
0.0112007      	2.4562024e-08
0.0114658      	2.5317447e-08
0.0117309      	2.6076315e-08
0.0119961      	2.6845154e-08
0.0122614      	2.7618363e-08
0.0125268      	2.8401696e-08
0.0127923      	2.9188715e-08
0.0130547      	2.9976663e-08
0.0133104      	3.0746999e-08
0.0135598      	3.1507694e-08
0.0138031      	3.2253315e-08
0.0140406      	3.2989542e-08
0.0142724      	3.3711849e-08
0.0144989      	3.4425889e-08
0.0147204      	3.5126701e-08
0.0149373      	3.5820309e-08
0.0151497      	3.6501294e-08
0.0153579      	3.7175691e-08
0.0155621      	3.7839057e-08
0.0157624      	3.8496795e-08
0.0159592      	3.9144347e-08
0.0161525      	3.9786871e-08
0.0163424      	4.0419927e-08
0.0165292      	4.1048459e-08
0.016713       	4.1668146e-08
0.0168938      	4.2283747e-08
0.0170719      	4.2891375e-08
0.0172473      	4.3495757e-08
0.0174201      	4.4092311e-08
0.0175903      	4.4685466e-08
0.0177582      	4.5271229e-08
0.0179238      	4.5853887e-08
0.0180872      	4.6429130e-08
0.0182484      	4.7001161e-08
0.0184075      	4.7566534e-08
0.0185646      	4.8129277e-08
0.0187197      	4.8685668e-08
0.0188729      	4.9239628e-08
0.0190244      	4.9787643e-08
0.019174       	5.0334033e-08
0.0193219      	5.0874600e-08
0.0194682      	5.1413058e-08
0.0196128      	5.1945931e-08
0.0197558      	5.2476844e-08
0.0198973      	5.3002396e-08
0.0200373      	5.3525928e-08
0.0201759      	5.4043765e-08
0.020313       	5.4559898e-08
0.0204487      	5.5071059e-08
0.0205831      	5.5580618e-08
0.0207162      	5.6085373e-08
0.020848       	5.6588629e-08
0.0209786      	5.7087242e-08
0.0211079      	5.7584448e-08
0.0212361      	5.8077157e-08
0.0213631      	5.8568541e-08
0.021489       	5.9055565e-08
0.0216137      	5.9541340e-08
0.0217374      	6.0022885e-08
0.02186        	6.0503257e-08
0.0219815      	6.0979526e-08
0.0221021      	6.1455282e-08
0.0222216      	6.1927150e-08
0.0223402      	6.2397963e-08
0.0224579      	6.2864891e-08
0.0225745      	6.3330824e-08
0.0226903      	6.3792979e-08
0.0228052      	6.4254197e-08
0.0229192      	6.4711738e-08
0.0230323      	6.5168203e-08
0.0231446      	6.5620597e-08
0.0232561      	6.6072161e-08
0.0233667      	6.6520230e-08
0.0234765      	6.6967509e-08
0.0235856      	6.7411373e-08
0.0236939      	6.7854488e-08
0.0238014      	6.8294269e-08
0.0239082      	6.8733342e-08
0.0240142      	6.9169161e-08
0.0241196      	6.9604310e-08
0.0242242      	7.0036273e-08
0.0243281      	7.0467598e-08
0.0244314      	7.0895803e-08
0.024534       	7.1323403e-08
0.0246359      	7.1747948e-08
0.0247372      	7.2171921e-08
0.0248378      	7.2592905e-08
0.0249378      	7.3013348e-08
0.0250372      	7.3431110e-08
0.025136       	7.3848766e-08
0.0252341      	7.4263546e-08
0.0253317      	7.4677832e-08
0.0254287      	7.5089298e-08
0.0255252      	7.5500297e-08
0.025621       	7.5908530e-08
0.0257163      	7.6316322e-08
0.0258111      	7.6721402e-08
0.0259053      	7.7126067e-08
0.025999       	7.7528073e-08
0.0260921      	7.7929055e-08
0.0261848      	7.8327419e-08
0.0262769      	7.8725417e-08
0.0263686      	7.9120845e-08
0.0264597      	7.9515923e-08
0.0265503      	7.9908473e-08
0.0266405      	8.0300690e-08
0.0267302      	8.0690422e-08
0.0268194      	8.1079841e-08
0.0269082      	8.1466820e-08
0.0269965      	8.1853507e-08
0.0270843      	8.2238392e-08
0.0271717      	8.2623020e-08
0.0272587      	8.3005275e-08
0.0273452      	8.3387264e-08
0.0274313      	8.3766918e-08
0.027517       	8.4146322e-08
0.0276022      	8.4523427e-08
0.0276871      	8.4900296e-08
0.0277715      	8.5274904e-08
0.0278555      	8.5649291e-08
0.0279391      	8.6021453e-08
0.0280224      	8.6393245e-08
0.0281052      	8.6762396e-08
