# Region type : patch Lc2
# Faces        : 204
# Area         : 3.3006346e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	1.3101332e-10
0.000132       	2.8948257e-10
0.0002184      	4.8042734e-10
0.00032208     	7.1218387e-10
0.000446496    	9.9302420e-10
0.000595795    	1.3361752e-09
0.000774954    	1.7552350e-09
0.000989945    	2.2716796e-09
0.00124793     	2.9087554e-09
0.00155752     	3.7024358e-09
0.00192903     	4.6932843e-09
0.00237483     	5.9428204e-09
0.0029098      	7.5229111e-09
0.00355176     	9.5395974e-09
0.00429765     	1.2035369e-08
0.00475382     	1.3677846e-08
0.00497048     	1.4478088e-08
0.00518408     	1.5284909e-08
0.00542151     	1.6191611e-08
0.00568516     	1.7220763e-08
0.00595414     	1.8284496e-08
0.0062144      	1.9337309e-08
0.00646879     	2.0377937e-08
0.00672414     	2.1443158e-08
0.00698347     	2.2535491e-08
0.0072456      	2.3659385e-08
0.0075082      	2.4795253e-08
0.00777027     	2.5948510e-08
0.00803213     	2.7109955e-08
0.00829441     	2.8292073e-08
0.00855734     	2.9485451e-08
0.00882083     	3.0699559e-08
0.00908463     	3.1923201e-08
0.00934861     	3.3166016e-08
0.00961272     	3.4416753e-08
0.00987701     	3.5685566e-08
0.0101415      	3.6961455e-08
0.0104061      	3.8254384e-08
0.0106708      	3.9554283e-08
0.0109356      	4.0871220e-08
0.0112005      	4.2194813e-08
0.0114655      	4.3535222e-08
0.0117307      	4.4882067e-08
0.0119958      	4.6245531e-08
0.0122611      	4.7616560e-08
0.0125265      	4.9004140e-08
0.0127919      	5.0397914e-08
0.0130543      	5.1791581e-08
0.0133099      	5.3153656e-08
0.0135591      	5.4496931e-08
0.0138025      	5.5813233e-08
0.01404        	5.7111296e-08
0.0142718      	5.8383959e-08
0.0144983      	5.9640348e-08
0.0147199      	6.0872715e-08
0.0149367      	6.2090759e-08
0.0151492      	6.3285991e-08
0.0153574      	6.4468094e-08
0.0155616      	6.5630108e-08
0.0157619      	6.6780725e-08
0.0159587      	6.7912792e-08
0.016152       	6.9034601e-08
0.0163419      	7.0139169e-08
0.0165288      	7.1234438e-08
0.0167125      	7.2313612e-08
0.0168934      	7.3384335e-08
0.0170714      	7.4440487e-08
0.0172468      	7.5489655e-08
0.0174196      	7.6524617e-08
0.0175899      	7.7552469e-08
0.0177578      	7.8566916e-08
0.0179234      	7.9574827e-08
0.0180867      	8.0569405e-08
0.0182479      	8.1557368e-08
0.0184071      	8.2533277e-08
0.0185642      	8.3503574e-08
0.0187193      	8.4462387e-08
0.0188726      	8.5415985e-08
0.019024       	8.6358815e-08
0.0191736      	8.7297779e-08
0.0193216      	8.8226242e-08
0.0194678      	8.9150137e-08
0.0196124      	9.0063965e-08
0.0197555      	9.0973520e-08
0.019897       	9.1873415e-08
0.020037       	9.2769002e-08
