# Region type : patch Rc1
# Faces        : 178
# Area         : 3.6336748e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	1.6787175e-10
0.000132       	3.7109696e-10
0.0002184      	6.1629085e-10
0.00032208     	9.1417775e-10
0.000446496    	1.2754951e-09
0.000595795    	1.7171521e-09
0.000774954    	2.2565670e-09
0.000989945    	2.9207647e-09
0.00124793     	3.7386838e-09
0.00155752     	4.7541807e-09
0.00192903     	6.0152067e-09
0.00237483     	7.5924037e-09
0.0029098      	9.5635476e-09
0.00355176     	1.2038190e-08
0.00429766     	1.5035131e-08
0.00475367     	1.6969414e-08
0.00497034     	1.7901981e-08
0.00518395     	1.8835347e-08
0.00542139     	1.9875932e-08
0.00568505     	2.1047508e-08
0.00595404     	2.2247238e-08
0.0062143      	2.3424756e-08
0.0064687      	2.4578134e-08
0.00672407     	2.5749268e-08
0.00698341     	2.6939196e-08
0.00724555     	2.8153385e-08
0.00750815     	2.9369084e-08
0.00777023     	3.0593554e-08
0.0080321      	3.1815403e-08
0.0082944      	3.3049427e-08
0.00855734     	3.4283927e-08
0.00882082     	3.5530548e-08
0.00908464     	3.6775962e-08
0.00934862     	3.8032241e-08
0.00961275     	3.9285797e-08
0.00987705     	4.0549152e-08
0.0101415      	4.1809053e-08
0.0104062      	4.3077926e-08
0.0106709      	4.4343838e-08
0.0109358      	4.5619330e-08
0.0112007      	4.6892041e-08
0.0114658      	4.8174661e-08
0.0117309      	4.9454888e-08
0.0119961      	5.0745469e-08
0.0122614      	5.2035851e-08
0.0125268      	5.3337302e-08
0.0127923      	5.4637590e-08
0.0130547      	5.5934285e-08
0.0133104      	5.7195432e-08
0.0135598      	5.8436843e-08
0.0138031      	5.9648399e-08
0.0140406      	6.0841761e-08
0.0142724      	6.2008534e-08
0.0144989      	6.3159839e-08
0.0147204      	6.4286327e-08
0.0149373      	6.5399817e-08
0.0151497      	6.6489978e-08
0.0153579      	6.7568656e-08
0.0155621      	6.8627442e-08
0.0157624      	6.9676907e-08
0.0159592      	7.0708352e-08
0.0161525      	7.1731859e-08
0.0163424      	7.2738933e-08
0.0165292      	7.3739218e-08
0.016713       	7.4724428e-08
0.0168938      	7.5703821e-08
0.0170719      	7.6669955e-08
0.0172473      	7.7632046e-08
0.0174201      	7.8581251e-08
0.0175903      	7.9526153e-08
0.0177582      	8.0459052e-08
0.0179238      	8.1388244e-08
0.0180872      	8.2305376e-08
0.0182484      	8.3218587e-08
0.0184075      	8.4121269e-08
0.0185646      	8.5021202e-08
0.0187197      	8.5911206e-08
0.0188729      	8.6798840e-08
0.0190244      	8.7677322e-08
0.019174       	8.8555038e-08
0.0193219      	8.9423837e-08
0.0194682      	9.0290877e-08
0.0196128      	9.1149437e-08
0.0197558      	9.2006491e-08
0.0198973      	9.2855454e-08
0.0200373      	9.3702739e-08
0.0201759      	9.4541199e-08
0.020313       	9.5378575e-08
0.0204487      	9.6208533e-08
0.0205831      	9.7037572e-08
0.0207162      	9.7859479e-08
0.020848       	9.8680613e-08
0.0209786      	9.9494880e-08
0.0211079      	1.0030851e-07
0.0212361      	1.0111552e-07
0.0213631      	1.0192200e-07
0.021489       	1.0272209e-07
0.0216137      	1.0352177e-07
0.0217374      	1.0431526e-07
0.02186        	1.0510843e-07
0.0219815      	1.0589559e-07
0.0221021      	1.0668372e-07
0.0222216      	1.0746624e-07
0.0223402      	1.0824860e-07
0.0224579      	1.0902531e-07
0.0225745      	1.0980191e-07
0.0226903      	1.1057303e-07
0.0228052      	1.1134411e-07
0.0229192      	1.1210983e-07
0.0230323      	1.1287519e-07
0.0231446      	1.1363434e-07
0.0232561      	1.1439356e-07
0.0233667      	1.1514770e-07
0.0234765      	1.1590196e-07
0.0235856      	1.1665123e-07
0.0236939      	1.1740067e-07
0.0238014      	1.1814524e-07
0.0239082      	1.1889000e-07
0.0240142      	1.1963000e-07
0.0241196      	1.2037023e-07
0.0242242      	1.2110580e-07
0.0243281      	1.2184162e-07
0.0244314      	1.2257288e-07
0.024534       	1.2330442e-07
0.0246359      	1.2403149e-07
0.0247372      	1.2475887e-07
0.0248378      	1.2548186e-07
0.0249378      	1.2620518e-07
0.0250372      	1.2692469e-07
0.025136       	1.2764537e-07
0.0252341      	1.2836183e-07
0.0253317      	1.2907865e-07
0.0254287      	1.2979132e-07
0.0255252      	1.3050438e-07
0.025621       	1.3121336e-07
0.0257163      	1.3192274e-07
0.0258111      	1.3262812e-07
0.0259053      	1.3333391e-07
0.025999       	1.3403576e-07
0.0260921      	1.3473677e-07
0.0261848      	1.3543389e-07
0.0262769      	1.3613146e-07
0.0263686      	1.3682521e-07
0.0264597      	1.3751941e-07
0.0265503      	1.3820986e-07
0.0266405      	1.3890077e-07
0.0267302      	1.3958798e-07
0.0268194      	1.4027567e-07
0.0269082      	1.4095970e-07
0.0269965      	1.4164422e-07
0.0270843      	1.4232635e-07
0.0271717      	1.4300903e-07
0.0272587      	1.4368815e-07
0.0273452      	1.4436778e-07
0.0274313      	1.4504391e-07
0.027517       	1.4572055e-07
0.0276022      	1.4639373e-07
0.0276871      	1.4706744e-07
0.0277715      	1.4773774e-07
0.0278555      	1.4840856e-07
0.0279391      	1.4907603e-07
0.0280224      	1.4974369e-07
0.0281052      	1.5040712e-07
0.0281877      	1.5107110e-07
0.0282698      	1.5173181e-07
0.0283515      	1.5239305e-07
0.0284328      	1.5305106e-07
0.0285138      	1.5370961e-07
0.0285944      	1.5436497e-07
0.0286746      	1.5502088e-07
0.0287545      	1.5567363e-07
0.0288341      	1.5632694e-07
0.0289133      	1.5697713e-07
0.0289921      	1.5762787e-07
0.0290707      	1.5827553e-07
0.0291488      	1.5892375e-07
0.0292267      	1.5956892e-07
0.0293042      	1.6021466e-07
0.0293814      	1.6085738e-07
0.0294583      	1.6150067e-07
0.0295348      	1.6214098e-07
0.0296111      	1.6278185e-07
0.029687       	1.6341979e-07
0.0297626      	1.6405829e-07
0.029838       	1.6469388e-07
0.029913       	1.6533004e-07
0.0299877      	1.6596332e-07
0.0300621      	1.6659817e-07
0.0301362      	1.6723037e-07
0.0302101      	1.6786314e-07
0.0302836      	1.6849309e-07
0.0303569      	1.6912361e-07
0.0304299      	1.6975136e-07
0.0305026      	1.7037968e-07
0.030575       	1.7100524e-07
0.0306472      	1.7163138e-07
0.0307191      	1.7225480e-07
0.0307907      	1.7287880e-07
0.030862       	1.7350010e-07
0.0309331      	1.7412198e-07
0.0310039      	1.7474112e-07
0.0310745      	1.7535975e-07
0.0311448      	1.7597574e-07
0.0312149      	1.7659231e-07
0.0312847      	1.7720627e-07
0.0313542      	1.7782081e-07
0.0314236      	1.7843276e-07
0.0314926      	1.7904529e-07
0.0315614      	1.7965526e-07
0.03163        	1.8026581e-07
0.0316984      	1.8087382e-07
0.0317665      	1.8148242e-07
0.0318343      	1.8208849e-07
0.031902       	1.8269515e-07
0.0319694      	1.8329932e-07
0.0320366      	1.8390407e-07
0.0321035      	1.8450635e-07
0.0321703      	1.8510922e-07
0.0322368      	1.8570964e-07
0.0323031      	1.8631065e-07
0.0323692      	1.8690922e-07
0.032435       	1.8750840e-07
0.0325006      	1.8810516e-07
0.0325661      	1.8870251e-07
0.0326313      	1.8929748e-07
0.0326963      	1.8989304e-07
0.0327611      	1.9048623e-07
0.0328257      	1.9108002e-07
0.0328901      	1.9167146e-07
0.0329543      	1.9226350e-07
0.0330182      	1.9285353e-07
0.033082       	1.9344496e-07
0.0331456      	1.9403408e-07
0.033209       	1.9462379e-07
0.0332722      	1.9521122e-07
0.0333352      	1.9579925e-07
0.033398       	1.9638500e-07
0.0334606      	1.9697136e-07
0.033523       	1.9755547e-07
0.0335853      	1.9814018e-07
0.0336473      	1.9872265e-07
0.0337092      	1.9930573e-07
0.0337709      	1.9988660e-07
0.0338324      	2.0046806e-07
0.0338937      	2.0104733e-07
0.0339548      	2.0162721e-07
0.0340158      	2.0220462e-07
0.0340766      	2.0278181e-07
0.0341372      	2.0335685e-07
0.0341976      	2.0393250e-07
0.0342579      	2.0450600e-07
0.0343179      	2.0508011e-07
0.0343779      	2.0565208e-07
0.0344376      	2.0622466e-07
0.0344972      	2.0679513e-07
0.0345566      	2.0736620e-07
0.0346158      	2.0793518e-07
0.0346749      	2.0850476e-07
0.0347338      	2.0907226e-07
0.0347926      	2.0964036e-07
0.0348512      	2.1020639e-07
0.0349096      	2.1077303e-07
0.0349679      	2.1133762e-07
0.035026       	2.1190330e-07
0.035084       	2.1246754e-07
0.0351418      	2.1303238e-07
0.0351994      	2.1359520e-07
0.0352569      	2.1415862e-07
0.0353143      	2.1472004e-07
0.0353715      	2.1528206e-07
0.0354285      	2.1584209e-07
0.0354854      	2.1640272e-07
0.0355422      	2.1696138e-07
0.0355987      	2.1752064e-07
0.0356552      	2.1807795e-07
0.0357115      	2.1863585e-07
0.0357677      	2.1919181e-07
0.0358237      	2.1974837e-07
0.0358795      	2.2030300e-07
0.0359353      	2.2085823e-07
0.0359908      	2.2141155e-07
0.0360463      	2.2196458e-07
0.0361016      	2.2251553e-07
0.0361568      	2.2306708e-07
0.0362118      	2.2361674e-07
0.0362667      	2.2416701e-07
0.0363215      	2.2471539e-07
0.0363761      	2.2526438e-07
0.0364306      	2.2581150e-07
0.0364849      	2.2635922e-07
0.0365391      	2.2690509e-07
0.0365932      	2.2745156e-07
0.0366472      	2.2799618e-07
0.036701       	2.2854140e-07
0.0367547      	2.2908479e-07
0.0368083      	2.2962878e-07
0.0368618      	2.3017095e-07
0.0369151      	2.3071372e-07
0.0369683      	2.3125468e-07
0.0370213      	2.3179624e-07
0.0370743      	2.3233601e-07
0.0371271      	2.3287637e-07
0.0371798      	2.3341495e-07
0.0372324      	2.3395413e-07
0.0372848      	2.3449154e-07
0.0373371      	2.3502955e-07
0.0373893      	2.3556580e-07
0.0374414      	2.3610264e-07
0.0374934      	2.3663774e-07
0.0375453      	2.3717343e-07
0.037597       	2.3770738e-07
0.0376486      	2.3824193e-07
0.0377001      	2.3877475e-07
0.0377515      	2.3930817e-07
0.0378028      	2.3983987e-07
0.0378539      	2.4037217e-07
0.037905       	2.4090276e-07
0.0379559      	2.4143394e-07
0.0380067      	2.4196357e-07
0.0380574      	2.4249468e-07
0.038108       	2.4302410e-07
0.0381585      	2.4355412e-07
0.0382089      	2.4408246e-07
0.0382592      	2.4461139e-07
0.0383093      	2.4513866e-07
0.0383594      	2.4566652e-07
0.0384093      	2.4619273e-07
0.0384591      	2.4671953e-07
0.0385089      	2.4724469e-07
0.0385585      	2.4777044e-07
0.038608       	2.4829456e-07
0.0386574      	2.4881926e-07
0.0387067      	2.4934235e-07
0.0387559      	2.4986602e-07
0.038805       	2.5038808e-07
0.038854       	2.5091072e-07
0.0389029      	2.5143177e-07
0.0389517      	2.5195340e-07
0.0390004      	2.5247344e-07
0.039049       	2.5299305e-07
0.0390975      	2.5351108e-07
0.0391459      	2.5402970e-07
0.0391941      	2.5454675e-07
0.0392423      	2.5506438e-07
0.0392904      	2.5558044e-07
0.0393384      	2.5609709e-07
0.0393863      	2.5661217e-07
0.0394341      	2.5712785e-07
0.0394819      	2.5764197e-07
0.0395295      	2.5815668e-07
0.039577       	2.5866984e-07
0.0396244      	2.5918359e-07
0.0396717      	2.5969581e-07
0.039719       	2.6020861e-07
0.0397661      	2.6071988e-07
0.0398132      	2.6123173e-07
0.0398601      	2.6174207e-07
0.039907       	2.6225298e-07
0.0399538      	2.6276239e-07
0.0400005      	2.6327245e-07
0.0400471      	2.6378789e-07
0.0400936      	2.6430390e-07
0.04014        	2.6481840e-07
0.0401863      	2.6533348e-07
0.0402326      	2.6584707e-07
0.0402787      	2.6636125e-07
0.0403248      	2.6687393e-07
0.0403707      	2.6738721e-07
0.0404166      	2.6789902e-07
0.0404624      	2.6841141e-07
0.0405081      	2.6892234e-07
0.0405537      	2.6943386e-07
0.0405993      	2.6994392e-07
0.0406447      	2.7045457e-07
0.0406901      	2.7096377e-07
0.0407354      	2.7147356e-07
0.0407806      	2.7198190e-07
0.0408257      	2.7249084e-07
0.0408707      	2.7299834e-07
0.0409157      	2.7350643e-07
0.0409605      	2.7401309e-07
0.0410053      	2.7452034e-07
0.04105        	2.7502617e-07
0.0410946      	2.7553258e-07
0.0411391      	2.7603759e-07
0.0411836      	2.7654317e-07
0.041228       	2.7704736e-07
0.0412723      	2.7755212e-07
0.0413165      	2.7805549e-07
0.0413606      	2.7855943e-07
0.0414047      	2.7906199e-07
0.0414486      	2.7956513e-07
0.0414925      	2.8006688e-07
0.0415363      	2.8056921e-07
0.0415801      	2.8107016e-07
0.0416237      	2.8157169e-07
0.0416673      	2.8207184e-07
0.0417108      	2.8257258e-07
0.0417543      	2.8307195e-07
0.0417976      	2.8357189e-07
0.0418409      	2.8407047e-07
0.0418841      	2.8456963e-07
0.0419272      	2.8506743e-07
0.0419703      	2.8556581e-07
0.0420133      	2.8606254e-07
0.0420562      	2.8655918e-07
0.042099       	2.8705447e-07
0.0421418      	2.8755034e-07
0.0421845      	2.8804487e-07
0.0422271      	2.8853996e-07
0.0422696      	2.8903373e-07
0.0423121      	2.8952807e-07
0.0423545      	2.9002108e-07
0.0423968      	2.9051466e-07
0.0424391      	2.9100691e-07
0.0424812      	2.9149974e-07
0.0425233      	2.9199124e-07
0.0425654      	2.9248331e-07
0.0426074      	2.9297408e-07
0.0426493      	2.9346540e-07
0.0426911      	2.9395542e-07
0.0427329      	2.9444601e-07
0.0427746      	2.9493529e-07
0.0428162      	2.9542513e-07
0.0428577      	2.9591368e-07
0.0428992      	2.9640278e-07
0.0429407      	2.9689060e-07
0.042982       	2.9737897e-07
0.0430233      	2.9786659e-07
0.0430645      	2.9835518e-07
0.0431057      	2.9884249e-07
0.0431468      	2.9933035e-07
0.0431878      	2.9981695e-07
0.0432287      	3.0030410e-07
0.0432696      	3.0078998e-07
0.0433105      	3.0127641e-07
0.0433512      	3.0176158e-07
0.0433919      	3.0224729e-07
0.0434325      	3.0273176e-07
0.0434731      	3.0321676e-07
0.0435136      	3.0370052e-07
0.043554       	3.0418483e-07
0.0435944      	3.0466789e-07
0.0436347      	3.0515149e-07
0.043675       	3.0563386e-07
0.0437152      	3.0611677e-07
0.0437553      	3.0659844e-07
0.0437953      	3.0708066e-07
0.0438353      	3.0756165e-07
0.0438753      	3.0804317e-07
0.0439152      	3.0852347e-07
0.043955       	3.0900432e-07
0.0439947      	3.0948394e-07
0.0440344      	3.0996409e-07
0.044074       	3.1044304e-07
0.0441136      	3.1092252e-07
0.0441531      	3.1140079e-07
0.0441926      	3.1187959e-07
0.044232       	3.1235719e-07
0.0442713      	3.1283532e-07
0.0443106      	3.1331225e-07
0.0443498      	3.1378972e-07
0.0443889      	3.1426599e-07
0.044428       	3.1474279e-07
0.0444671      	3.1521840e-07
0.044506       	3.1569454e-07
0.044545       	3.1616949e-07
0.0445838      	3.1664498e-07
0.0446226      	3.1711928e-07
0.0446614      	3.1759411e-07
0.0447001      	3.1806776e-07
0.0447387      	3.1854194e-07
0.0447773      	3.1901495e-07
0.0448158      	3.1948848e-07
0.0448543      	3.1996084e-07
0.0448927      	3.2043373e-07
0.044931       	3.2090545e-07
0.0449693      	3.2137769e-07
0.0450076      	3.2184877e-07
0.0450458      	3.2232038e-07
0.0450839      	3.2279083e-07
0.045122       	3.2326180e-07
0.04516        	3.2373162e-07
0.0451979      	3.2420195e-07
0.0452359      	3.2467115e-07
0.0452737      	3.2514086e-07
0.0453115      	3.2560942e-07
0.0453493      	3.2607850e-07
0.045387       	3.2654644e-07
0.0454246      	3.2701489e-07
0.0454622      	3.2748221e-07
0.0454997      	3.2795004e-07
0.0455372      	3.2841675e-07
0.0455747      	3.2888397e-07
0.045612       	3.2935006e-07
0.0456494      	3.2981667e-07
0.0456867      	3.3028216e-07
0.0457239      	3.3074815e-07
0.0457611      	3.3121303e-07
0.0457982      	3.3167841e-07
0.0458352      	3.3214268e-07
0.0458723      	3.3260746e-07
0.0459092      	3.3307113e-07
0.0459462      	3.3353531e-07
0.045983       	3.3399839e-07
0.0460198      	3.3446148e-07
0.0460566      	3.3492306e-07
0.0460933      	3.3538515e-07
0.04613        	3.3584613e-07
0.0461666      	3.3630762e-07
0.0462032      	3.3676801e-07
0.0462397      	3.3722890e-07
0.0462762      	3.3768871e-07
0.0463126      	3.3814902e-07
0.0463489      	3.3860824e-07
0.0463853      	3.3906797e-07
0.0464215      	3.3952661e-07
0.0464578      	3.3998575e-07
0.046494       	3.4044382e-07
0.0465301      	3.4090238e-07
0.0465662      	3.4135987e-07
0.0466022      	3.4181785e-07
0.0466382      	3.4227477e-07
0.0466741      	3.4273218e-07
0.04671        	3.4318852e-07
0.0467459      	3.4364535e-07
0.0467817      	3.4410113e-07
0.0468174      	3.4455739e-07
0.0468531      	3.4501260e-07
0.0468888      	3.4546830e-07
0.0469244      	3.4592294e-07
0.04696        	3.4637807e-07
0.0469955      	3.4683215e-07
0.047031       	3.4728749e-07
0.0470664      	3.4774190e-07
0.0471018      	3.4819680e-07
0.0471371      	3.4865065e-07
0.0471724      	3.4910499e-07
0.0472076      	3.4955829e-07
0.0472428      	3.5001208e-07
0.047278       	3.5046483e-07
0.0473131      	3.5091806e-07
0.0473482      	3.5137026e-07
0.0473832      	3.5182295e-07
0.0474182      	3.5227461e-07
0.0474531      	3.5272675e-07
0.047488       	3.5317787e-07
0.0475229      	3.5362947e-07
0.0475577      	3.5408004e-07
0.0475924      	3.5453110e-07
0.0476271      	3.5498114e-07
0.0476618      	3.5543166e-07
0.0476964      	3.5588116e-07
0.047731       	3.5633114e-07
0.0477656      	3.5678011e-07
0.0478001      	3.5722956e-07
0.0478345      	3.5767801e-07
0.0478689      	3.5812693e-07
0.0479033      	3.5857484e-07
0.0479377      	3.5902323e-07
0.0479719      	3.5947063e-07
0.0480062      	3.5991849e-07
0.0480404      	3.6036536e-07
0.0480746      	3.6081271e-07
0.0481087      	3.6125906e-07
0.0481428      	3.6170588e-07
0.0481768      	3.6215172e-07
0.0482108      	3.6259802e-07
0.0482448      	3.6304334e-07
0.0482787      	3.6348914e-07
0.0483125      	3.6393394e-07
0.0483464      	3.6437922e-07
0.0483802      	3.6482352e-07
0.0484139      	3.6526828e-07
0.0484476      	3.6571207e-07
0.0484813      	3.6615632e-07
0.0485149      	3.6659961e-07
0.0485485      	3.6704336e-07
0.0485821      	3.6748614e-07
0.0486156      	3.6792939e-07
0.0486491      	3.6837166e-07
0.0486825      	3.6881441e-07
0.0487159      	3.6925619e-07
0.0487493      	3.6969844e-07
0.0487826      	3.7013973e-07
0.0488159      	3.7058148e-07
0.0488491      	3.7102227e-07
0.0488823      	3.7146353e-07
0.0489155      	3.7190384e-07
0.0489486      	3.7234461e-07
0.0489817      	3.7278443e-07
0.0490147      	3.7322471e-07
0.0490477      	3.7366404e-07
0.0490807      	3.7410383e-07
0.0491136      	3.7454267e-07
0.0491465      	3.7498198e-07
0.0491794      	3.7542034e-07
0.0492122      	3.7585916e-07
0.0492449      	3.7629705e-07
0.0492777      	3.7673539e-07
0.0493104      	3.7717279e-07
0.0493431      	3.7761066e-07
0.0493757      	3.7804759e-07
0.0494083      	3.7848498e-07
0.0494408      	3.7892144e-07
0.0494734      	3.7935835e-07
0.0495058      	3.7979434e-07
0.0495383      	3.8023078e-07
0.0495707      	3.8066630e-07
0.0496031      	3.8110227e-07
0.0496354      	3.8153732e-07
0.0496677      	3.8197283e-07
0.0497         	3.8240741e-07
0.0497322      	3.8284245e-07
0.0497644      	3.8327658e-07
0.0497965      	3.8371115e-07
0.0498287      	3.8414482e-07
0.0498607      	3.8457893e-07
0.0498928      	3.8501214e-07
0.0499248      	3.8544580e-07
0.0499568      	3.8587855e-07
0.0499887      	3.8631175e-07
0.0500206      	3.8654567e-07
0.0500525      	3.8667168e-07
0.0500844      	3.8679722e-07
0.0501162      	3.8692328e-07
0.0501481      	3.8704865e-07
0.0501799      	3.8717435e-07
0.0502117      	3.8729923e-07
0.0502435      	3.8742432e-07
0.0502753      	3.8754850e-07
0.0503071      	3.8767282e-07
0.0503388      	3.8779616e-07
0.0503706      	3.8791960e-07
0.0504023      	3.8804202e-07
0.050434       	3.8816451e-07
0.0504657      	3.8828596e-07
0.0504974      	3.8840745e-07
0.0505291      	3.8852788e-07
0.0505607      	3.8864834e-07
0.0505924      	3.8876773e-07
0.050624       	3.8888713e-07
0.0506556      	3.8900546e-07
0.0506872      	3.8912379e-07
0.0507188      	3.8924104e-07
0.0507503      	3.8935830e-07
0.0507819      	3.8947447e-07
0.0508134      	3.8959064e-07
0.050845       	3.8970572e-07
0.0508765      	3.8982081e-07
0.050908       	3.8993481e-07
0.0509395      	3.9004881e-07
0.0509709      	3.9016173e-07
0.0510024      	3.9027472e-07
0.0510338      	3.9038740e-07
0.0510652      	3.9050009e-07
0.0510967      	3.9061171e-07
0.0511281      	3.9072334e-07
0.0511594      	3.9083390e-07
0.0511908      	3.9094448e-07
0.0512222      	3.9105400e-07
0.0512535      	3.9116354e-07
0.0512848      	3.9127203e-07
0.0513162      	3.9138055e-07
0.0513475      	3.9148803e-07
0.0513788      	3.9159555e-07
0.05141        	3.9170203e-07
0.0514413      	3.9180855e-07
0.0514725      	3.9191406e-07
0.0515038      	3.9201962e-07
0.051535       	3.9212416e-07
0.0515662      	3.9222877e-07
0.0515974      	3.9233238e-07
0.0516286      	3.9243606e-07
0.0516597      	3.9253874e-07
0.0516909      	3.9264151e-07
