# Region type : patch Rc1
# Faces        : 178
# Area         : 3.6336748e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	1.6787175e-10
0.000132       	3.7109620e-10
0.0002184      	6.1628726e-10
0.00032208     	9.1416591e-10
0.000446496    	1.2754633e-09
0.000595795    	1.7170761e-09
0.000774954    	2.2563993e-09
0.000989945    	2.9204144e-09
0.00124793     	3.7379774e-09
0.00155752     	4.7527967e-09
0.00192903     	6.0125450e-09
0.00237483     	7.5873584e-09
0.0029098      	9.5540861e-09
0.00355176     	1.2021266e-08
0.00429765     	1.5005923e-08
0.00475382     	1.6931629e-08
0.00497048     	1.7859050e-08
0.00518408     	1.8786786e-08
0.00542151     	1.9820323e-08
0.00568516     	2.0983172e-08
0.00595414     	2.2172889e-08
0.0062144      	2.3339676e-08
0.00646879     	2.4481437e-08
0.00672414     	2.5639818e-08
0.00698347     	2.6815570e-08
0.0072456      	2.8014223e-08
0.0075082      	2.9213001e-08
0.00777027     	3.0419252e-08
0.00803213     	3.1621431e-08
0.00829441     	3.2834345e-08
0.00855734     	3.4046166e-08
0.00882083     	3.5268588e-08
0.00908463     	3.6488123e-08
0.00934861     	3.7716890e-08
0.00961272     	3.8941184e-08
0.00987701     	4.0173589e-08
0.0101415      	4.1400717e-08
0.0104061      	4.2635043e-08
0.0106708      	4.3864483e-08
0.0109356      	4.5101648e-08
0.0112005      	4.6334054e-08
0.0114655      	4.7574470e-08
0.0117307      	4.8810459e-08
0.0119958      	5.0054834e-08
0.0122611      	5.1296902e-08
0.0125265      	5.2548004e-08
0.0127919      	5.3795768e-08
0.0130543      	5.5038398e-08
0.0133099      	5.6244823e-08
0.0135591      	5.7430988e-08
0.0138025      	5.8587009e-08
0.01404        	5.9724574e-08
0.0142718      	6.0835111e-08
0.0144983      	6.1929865e-08
0.0147199      	6.2999399e-08
0.0149367      	6.4055661e-08
0.0151492      	6.5088226e-08
0.0153574      	6.6109070e-08
0.0155616      	6.7109679e-08
0.0157619      	6.8100753e-08
0.0159587      	6.9073499e-08
0.016152       	7.0038111e-08
0.0163419      	7.0986002e-08
0.0165288      	7.1926925e-08
0.0167125      	7.2852505e-08
0.0168934      	7.3772103e-08
0.0170714      	7.4678206e-08
0.0172468      	7.5580121e-08
0.0174196      	7.6468925e-08
0.0175899      	7.7353291e-08
0.0177578      	7.8225447e-08
0.0179234      	7.9093773e-08
0.0180867      	7.9949842e-08
0.0182479      	8.0801868e-08
0.0184071      	8.1643159e-08
0.0185642      	8.2481587e-08
0.0187193      	8.3309889e-08
0.0188726      	8.4135715e-08
0.019024       	8.4952199e-08
0.0191736      	8.5767822e-08
0.0193216      	8.6574350e-08
0.0194678      	8.7379026e-08
0.0196124      	8.8175051e-08
0.0197555      	8.8969482e-08
0.019897       	8.9755656e-08
0.020037       	9.0540072e-08
0.0201755      	9.1315499e-08
0.0203126      	9.2089758e-08
0.0204484      	9.2856443e-08
0.0205828      	9.3622134e-08
0.0207159      	9.4380541e-08
0.0208477      	9.5138106e-08
0.0209783      	9.5888656e-08
0.0211076      	9.6638498e-08
0.0212358      	9.7381575e-08
0.0213628      	9.8124066e-08
0.0214886      	9.8860018e-08
0.0216134      	9.9595494e-08
0.021737       	1.0032464e-07
0.0218597      	1.0105341e-07
0.0219812      	1.0177605e-07
0.0221018      	1.0249959e-07
0.0222213      	1.0321739e-07
0.0223399      	1.0393498e-07
0.0224576      	1.0464678e-07
0.0225742      	1.0535845e-07
0.02269        	1.0606448e-07
0.0228049      	1.0677044e-07
0.0229189      	1.0747092e-07
0.023032       	1.0817098e-07
0.0231443      	1.0886472e-07
0.0232558      	1.0955849e-07
0.0233664      	1.1024705e-07
0.0234763      	1.1093568e-07
0.0235853      	1.1161922e-07
0.0236936      	1.1230287e-07
0.0238011      	1.1298155e-07
0.0239079      	1.1366038e-07
0.024014       	1.1433433e-07
0.0241193      	1.1500847e-07
0.0242239      	1.1567785e-07
0.0243279      	1.1634743e-07
0.0244311      	1.1701235e-07
0.0245337      	1.1767751e-07
0.0246356      	1.1833809e-07
0.0247369      	1.1899894e-07
0.0248375      	1.1965530e-07
0.0249375      	1.2031195e-07
0.0250369      	1.2096469e-07
0.0251357      	1.2161857e-07
0.0252339      	1.2226812e-07
0.0253315      	1.2291800e-07
0.0254285      	1.2356364e-07
0.0255249      	1.2420962e-07
0.0256208      	1.2485144e-07
0.0257161      	1.2549363e-07
0.0258108      	1.2613171e-07
0.0259051      	1.2677018e-07
0.0259987      	1.2740462e-07
0.0260919      	1.2803819e-07
0.0261846      	1.2866777e-07
0.0262767      	1.2929777e-07
0.0263683      	1.2992385e-07
0.0264595      	1.3055037e-07
0.0265501      	1.3117304e-07
0.0266403      	1.3179614e-07
0.02673        	1.3241545e-07
0.0268192      	1.3303521e-07
0.0269079      	1.3365123e-07
0.0269962      	1.3426770e-07
0.0270841      	1.3488170e-07
0.0271715      	1.3549622e-07
0.0272584      	1.3610710e-07
0.027345       	1.3671846e-07
0.0274311      	1.3732623e-07
0.0275167      	1.3793449e-07
0.027602       	1.3853921e-07
0.0276868      	1.3914443e-07
0.0277713      	1.3974615e-07
0.0278553      	1.4034837e-07
0.0279389      	1.4094716e-07
0.0280222      	1.4154611e-07
0.028105       	1.4214077e-07
0.0281875      	1.4273593e-07
0.0282696      	1.4332775e-07
0.0283513      	1.4392007e-07
0.0284326      	1.4450909e-07
0.0285136      	1.4509862e-07
0.0285942      	1.4568488e-07
0.0286744      	1.4627166e-07
0.0287543      	1.4685520e-07
0.0288339      	1.4743927e-07
0.0289131      	1.4802015e-07
0.0289919      	1.4860155e-07
0.0290705      	1.4917980e-07
0.0291486      	1.4975858e-07
0.0292265      	1.5033424e-07
0.029304       	1.5091043e-07
0.0293812      	1.5148354e-07
0.0294581      	1.5205719e-07
0.0295346      	1.5262779e-07
0.0296109      	1.5319893e-07
0.0296868      	1.5376705e-07
0.0297624      	1.5433572e-07
0.0298378      	1.5490141e-07
0.0299128      	1.5546764e-07
0.0299875      	1.5603092e-07
0.0300619      	1.5659574e-07
0.0301361      	1.5715784e-07
0.0302099      	1.5772049e-07
0.0302834      	1.5828025e-07
0.0303567      	1.5884057e-07
0.0304297      	1.5939803e-07
0.0305024      	1.5995605e-07
0.0305748      	1.6051124e-07
0.030647       	1.6106699e-07
0.0307189      	1.6161995e-07
0.0307905      	1.6217346e-07
0.0308618      	1.6272421e-07
0.0309329      	1.6327553e-07
0.0310038      	1.6382403e-07
0.0310743      	1.6437201e-07
0.0311446      	1.6491727e-07
0.0312147      	1.6546310e-07
0.0312845      	1.6600624e-07
0.0313541      	1.6654995e-07
0.0314234      	1.6709100e-07
0.0314924      	1.6763262e-07
0.0315613      	1.6817160e-07
0.0316298      	1.6871115e-07
0.0316982      	1.6924809e-07
0.0317663      	1.6978560e-07
0.0318342      	1.7032052e-07
0.0319018      	1.7085601e-07
0.0319692      	1.7138894e-07
0.0320364      	1.7192245e-07
0.0321034      	1.7245341e-07
0.0321701      	1.7298495e-07
0.0322366      	1.7351396e-07
0.0323029      	1.7404356e-07
0.032369       	1.7457066e-07
0.0324348      	1.7509834e-07
0.0325005      	1.7562355e-07
0.0325659      	1.7614933e-07
0.0326311      	1.7667266e-07
0.0326961      	1.7719657e-07
0.0327609      	1.7771805e-07
0.0328255      	1.7824011e-07
0.0328899      	1.7875976e-07
0.0329541      	1.7928000e-07
0.0330181      	1.7979816e-07
0.0330819      	1.8031771e-07
0.0331454      	1.8083489e-07
0.0332088      	1.8135265e-07
0.033272       	1.8186807e-07
0.033335       	1.8238407e-07
0.0333978      	1.8289774e-07
0.0334604      	1.8341199e-07
0.0335229      	1.8392394e-07
0.0335851      	1.8443648e-07
0.0336472      	1.8494672e-07
0.033709       	1.8545755e-07
0.0337707      	1.8596612e-07
0.0338322      	1.8647527e-07
0.0338935      	1.8698217e-07
0.0339547      	1.8748966e-07
0.0340156      	1.8799463e-07
0.0340764      	1.8849937e-07
0.034137       	1.8900190e-07
0.0341974      	1.8950502e-07
0.0342577      	1.9000594e-07
0.0343178      	1.9050745e-07
0.0343777      	1.9100677e-07
0.0344375      	1.9150669e-07
0.034497       	1.9200443e-07
0.0345564      	1.9250277e-07
0.0346157      	1.9299896e-07
0.0346748      	1.9349574e-07
0.0347337      	1.9399038e-07
0.0347925      	1.9448562e-07
0.034851       	1.9497874e-07
0.0349095      	1.9547245e-07
0.0349678      	1.9596406e-07
0.0350259      	1.9645674e-07
0.0350838      	1.9694794e-07
0.0351416      	1.9743973e-07
0.0351993      	1.9792944e-07
0.0352568      	1.9841975e-07
0.0353141      	1.9890800e-07
0.0353713      	1.9939684e-07
0.0354284      	1.9988365e-07
0.0354853      	2.0037104e-07
0.035542       	2.0085642e-07
0.0355986      	2.0134238e-07
0.035655       	2.0182634e-07
0.0357113      	2.0231089e-07
0.0357675      	2.0279344e-07
0.0358235      	2.0327659e-07
0.0358794      	2.0375775e-07
0.0359351      	2.0423952e-07
0.0359907      	2.0471931e-07
0.0360462      	2.0519881e-07
0.0361015      	2.0567618e-07
0.0361566      	2.0615414e-07
0.0362117      	2.0663016e-07
0.0362666      	2.0710678e-07
0.0363213      	2.0758146e-07
0.0363759      	2.0805675e-07
0.0364304      	2.0853011e-07
0.0364848      	2.0900407e-07
0.036539       	2.0947612e-07
0.0365931      	2.0994877e-07
0.0366471      	2.1041953e-07
0.0367009      	2.1089087e-07
0.0367546      	2.1136035e-07
0.0368082      	2.1183041e-07
0.0368616      	2.1229861e-07
0.0369149      	2.1276739e-07
0.0369681      	2.1323433e-07
0.0370212      	2.1370186e-07
0.0370741      	2.1416754e-07
0.037127       	2.1463382e-07
0.0371797      	2.1509827e-07
0.0372322      	2.1556331e-07
0.0372847      	2.1602653e-07
0.037337       	2.1649034e-07
0.0373892      	2.1695235e-07
0.0374413      	2.1741495e-07
0.0374933      	2.1787575e-07
0.0375451      	2.1833714e-07
0.0375969      	2.1879675e-07
0.0376485      	2.1925695e-07
0.0377         	2.1971538e-07
0.0377514      	2.2017439e-07
0.0378026      	2.2063165e-07
0.0378538      	2.2108949e-07
0.0379048      	2.2154559e-07
0.0379558      	2.2200227e-07
0.0380066      	2.2245735e-07
0.0380573      	2.2291391e-07
0.0381079      	2.2336874e-07
0.0381584      	2.2382415e-07
0.0382088      	2.2427785e-07
0.038259       	2.2473214e-07
0.0383092      	2.2518472e-07
0.0383592      	2.2563789e-07
0.0384092      	2.2608936e-07
0.038459       	2.2654141e-07
0.0385087      	2.2699179e-07
0.0385583      	2.2744275e-07
0.0386079      	2.2789203e-07
0.0386573      	2.2834189e-07
0.0387066      	2.2879010e-07
0.0387558      	2.2923889e-07
0.0388049      	2.2968602e-07
0.0388539      	2.3013374e-07
0.0389028      	2.3057982e-07
0.0389516      	2.3102648e-07
0.0390003      	2.3147150e-07
0.0390488      	2.3191610e-07
0.0390973      	2.3235907e-07
0.0391457      	2.3280263e-07
0.039194       	2.3324458e-07
0.0392422      	2.3368710e-07
0.0392903      	2.3412802e-07
0.0393383      	2.3456952e-07
0.0393862      	2.3500943e-07
0.039434       	2.3544991e-07
0.0394817      	2.3588880e-07
0.0395293      	2.3632827e-07
0.0395769      	2.3676616e-07
0.0396243      	2.3720463e-07
0.0396716      	2.3764153e-07
0.0397189      	2.3807900e-07
0.039766       	2.3851491e-07
0.0398131      	2.3895140e-07
0.03986        	2.3938634e-07
0.0399069      	2.3982185e-07
0.0399537      	2.4025581e-07
0.0400004      	2.4069041e-07
0.040047       	2.4113037e-07
0.0400935      	2.4157090e-07
0.0401399      	2.4200988e-07
0.0401862      	2.4244945e-07
0.0402324      	2.4288748e-07
0.0402786      	2.4332609e-07
0.0403246      	2.4376319e-07
0.0403706      	2.4420088e-07
0.0404165      	2.4463705e-07
0.0404623      	2.4507381e-07
0.040508       	2.4550907e-07
0.0405536      	2.4594493e-07
0.0405992      	2.4637928e-07
0.0406446      	2.4681423e-07
0.04069        	2.4724769e-07
0.0407353      	2.4768175e-07
0.0407805      	2.4811432e-07
0.0408256      	2.4854748e-07
0.0408706      	2.4897917e-07
0.0409155      	2.4941146e-07
0.0409604      	2.4984227e-07
0.0410052      	2.5027368e-07
0.0410499      	2.5070363e-07
0.0410945      	2.5113417e-07
0.041139       	2.5156326e-07
0.0411835      	2.5199294e-07
0.0412279      	2.5242117e-07
0.0412721      	2.5284999e-07
0.0413164      	2.5327738e-07
0.0413605      	2.5370535e-07
0.0414045      	2.5413189e-07
0.0414485      	2.5455902e-07
0.0414924      	2.5498473e-07
0.0415362      	2.5541101e-07
0.04158        	2.5583589e-07
0.0416236      	2.5626134e-07
0.0416672      	2.5668539e-07
0.0417107      	2.5711002e-07
0.0417542      	2.5753325e-07
0.0417975      	2.5795705e-07
0.0418408      	2.5837945e-07
0.041884       	2.5880244e-07
0.0419271      	2.5922403e-07
0.0419702      	2.5964620e-07
0.0420132      	2.6006670e-07
0.0420561      	2.6048710e-07
0.0420989      	2.6090613e-07
0.0421417      	2.6132574e-07
0.0421843      	2.6174397e-07
0.042227       	2.6216278e-07
0.0422695      	2.6258022e-07
0.042312       	2.6299824e-07
0.0423544      	2.6341489e-07
0.0423967      	2.6383212e-07
0.0424389      	2.6424799e-07
0.0424811      	2.6466443e-07
0.0425232      	2.6507952e-07
0.0425653      	2.6549517e-07
0.0426073      	2.6590949e-07
0.0426492      	2.6632437e-07
0.042691       	2.6673791e-07
0.0427328      	2.6715202e-07
0.0427745      	2.6756480e-07
0.0428161      	2.6797814e-07
0.0428576      	2.6839015e-07
0.0428991      	2.6880273e-07
0.0429405      	2.6921399e-07
0.0429819      	2.6962580e-07
0.0430232      	2.7003684e-07
0.0430644      	2.7044884e-07
0.0431056      	2.7085954e-07
0.0431467      	2.7127079e-07
0.0431877      	2.7168074e-07
0.0432286      	2.7209124e-07
0.0432695      	2.7250045e-07
0.0433104      	2.7291021e-07
0.0433511      	2.7331868e-07
0.0433918      	2.7372770e-07
0.0434324      	2.7413544e-07
0.043473       	2.7454373e-07
0.0435135      	2.7495074e-07
0.0435539      	2.7535830e-07
0.0435943      	2.7576458e-07
0.0436346      	2.7617142e-07
0.0436749      	2.7657699e-07
0.0437151      	2.7698310e-07
0.0437552      	2.7738795e-07
0.0437952      	2.7779335e-07
0.0438352      	2.7819748e-07
0.0438752      	2.7860217e-07
0.0439151      	2.7900560e-07
0.0439549      	2.7940957e-07
0.0439946      	2.7981230e-07
0.0440343      	2.8021556e-07
0.0440739      	2.8061758e-07
0.0441135      	2.8102015e-07
0.044153       	2.8142147e-07
0.0441925      	2.8182334e-07
0.0442319      	2.8222397e-07
0.0442712      	2.8262515e-07
0.0443105      	2.8302509e-07
0.0443497      	2.8342557e-07
0.0443888      	2.8382482e-07
0.0444279      	2.8422461e-07
0.044467       	2.8462318e-07
0.0445059      	2.8502229e-07
0.0445449      	2.8542019e-07
0.0445837      	2.8581861e-07
0.0446225      	2.8621583e-07
0.0446613      	2.8661358e-07
0.0447         	2.8701013e-07
0.0447386      	2.8740720e-07
0.0447772      	2.8780308e-07
0.0448157      	2.8819949e-07
0.0448542      	2.8859470e-07
0.0448926      	2.8899044e-07
0.0449309      	2.8938498e-07
0.0449692      	2.8978006e-07
0.0450075      	2.9017395e-07
0.0450457      	2.9056836e-07
0.0450838      	2.9096160e-07
0.0451219      	2.9135536e-07
0.0451599      	2.9174794e-07
0.0451979      	2.9214104e-07
0.0452358      	2.9253297e-07
0.0452736      	2.9292543e-07
0.0453114      	2.9331672e-07
0.0453492      	2.9370853e-07
0.0453869      	2.9409917e-07
0.0454245      	2.9449033e-07
0.0454621      	2.9488034e-07
0.0454997      	2.9527086e-07
0.0455371      	2.9566023e-07
0.0455746      	2.9605011e-07
0.045612       	2.9643885e-07
0.0456493      	2.9682810e-07
0.0456866      	2.9721620e-07
0.0457238      	2.9760483e-07
0.045761       	2.9799231e-07
0.0457981      	2.9838031e-07
0.0458351      	2.9876716e-07
0.0458722      	2.9915454e-07
0.0459091      	2.9954077e-07
0.0459461      	2.9992752e-07
0.0459829      	3.0031315e-07
0.0460197      	3.0069880e-07
0.0460565      	3.0108290e-07
0.0460932      	3.0146752e-07
0.0461299      	3.0185102e-07
0.0461665      	3.0223503e-07
0.0462031      	3.0261792e-07
0.0462396      	3.0300132e-07
0.0462761      	3.0338360e-07
0.0463125      	3.0376640e-07
0.0463489      	3.0414808e-07
0.0463852      	3.0453027e-07
0.0464215      	3.0491135e-07
0.0464577      	3.0529293e-07
0.0464939      	3.0567341e-07
0.04653        	3.0605440e-07
0.0465661      	3.0643429e-07
0.0466021      	3.0681468e-07
0.0466381      	3.0719397e-07
0.046674       	3.0757377e-07
0.0467099      	3.0795247e-07
0.0467458      	3.0833168e-07
0.0467816      	3.0870980e-07
0.0468173      	3.0908842e-07
0.046853       	3.0946596e-07
0.0468887      	3.0984399e-07
0.0469243      	3.1022095e-07
0.0469599      	3.1059841e-07
0.0469954      	3.1097478e-07
0.0470309      	3.1135244e-07
0.0470663      	3.1172913e-07
0.0471017      	3.1210632e-07
0.047137       	3.1248244e-07
0.0471723      	3.1285906e-07
0.0472075      	3.1323461e-07
0.0472428      	3.1361065e-07
0.0472779      	3.1398563e-07
0.047313       	3.1436111e-07
0.0473481      	3.1473553e-07
0.0473831      	3.1511045e-07
0.0474181      	3.1548431e-07
0.047453       	3.1585866e-07
0.0474879      	3.1623196e-07
0.0475228      	3.1660576e-07
0.0475576      	3.1697851e-07
0.0475923      	3.1735175e-07
0.047627       	3.1772395e-07
0.0476617      	3.1809664e-07
0.0476964      	3.1846829e-07
0.0477309      	3.1884044e-07
0.0477655      	3.1921154e-07
0.0478         	3.1958314e-07
0.0478344      	3.1995370e-07
0.0478689      	3.2032475e-07
0.0479032      	3.2069477e-07
0.0479376      	3.2106528e-07
0.0479719      	3.2143477e-07
0.0480061      	3.2180475e-07
0.0480403      	3.2217370e-07
0.0480745      	3.2254313e-07
0.0481086      	3.2291155e-07
0.0481427      	3.2328046e-07
0.0481767      	3.2364834e-07
0.0482107      	3.2401672e-07
0.0482447      	3.2438408e-07
0.0482786      	3.2475193e-07
0.0483125      	3.2511877e-07
0.0483463      	3.2548609e-07
0.0483801      	3.2585241e-07
0.0484138      	3.2621922e-07
0.0484476      	3.2658502e-07
0.0484812      	3.2695130e-07
0.0485149      	3.2731659e-07
0.0485485      	3.2768236e-07
0.048582       	3.2804713e-07
0.0486155      	3.2841238e-07
0.048649       	3.2877664e-07
0.0486824      	3.2914138e-07
0.0487158      	3.2950513e-07
0.0487492      	3.2986936e-07
0.0487825      	3.3023260e-07
0.0488158      	3.3059633e-07
0.048849       	3.3095907e-07
0.0488822      	3.3132228e-07
0.0489154      	3.3168452e-07
0.0489485      	3.3204723e-07
0.0489816      	3.3240897e-07
0.0490146      	3.3277118e-07
0.0490476      	3.3313243e-07
0.0490806      	3.3349414e-07
0.0491135      	3.3385488e-07
0.0491464      	3.3421610e-07
0.0491793      	3.3457636e-07
0.0492121      	3.3493708e-07
0.0492449      	3.3529685e-07
0.0492776      	3.3565708e-07
0.0493103      	3.3601636e-07
0.049343       	3.3637611e-07
0.0493756      	3.3673490e-07
0.0494082      	3.3709416e-07
0.0494408      	3.3745247e-07
0.0494733      	3.3781125e-07
0.0495058      	3.3816908e-07
0.0495382      	3.3852738e-07
0.0495706      	3.3888473e-07
0.049603       	3.3924255e-07
0.0496353      	3.3959942e-07
0.0496676      	3.3995676e-07
0.0496999      	3.4031316e-07
0.0497321      	3.4067003e-07
0.0497643      	3.4102596e-07
0.0497965      	3.4138236e-07
0.0498286      	3.4173782e-07
0.0498607      	3.4209375e-07
0.0498927      	3.4244874e-07
0.0499247      	3.4280420e-07
0.0499567      	3.4315873e-07
0.0499886      	3.4351372e-07
0.0500206      	3.4367020e-07
0.0500524      	3.4371796e-07
0.0500843      	3.4376518e-07
0.0501162      	3.4381288e-07
0.050148       	3.4385983e-07
0.0501798      	3.4390707e-07
0.0502116      	3.4395342e-07
0.0502434      	3.4399995e-07
0.0502752      	3.4404550e-07
0.050307       	3.4409116e-07
0.0503388      	3.4413577e-07
0.0503705      	3.4418045e-07
0.0504022      	3.4422404e-07
0.0504339      	3.4426767e-07
0.0504656      	3.4431019e-07
0.0504973      	3.4435272e-07
0.050529       	3.4439413e-07
0.0505606      	3.4443553e-07
0.0505923      	3.4447579e-07
0.0506239      	3.4451603e-07
0.0506555      	3.4455512e-07
0.0506871      	3.4459419e-07
0.0507187      	3.4463211e-07
0.0507503      	3.4467000e-07
0.0507818      	3.4470675e-07
0.0508134      	3.4474346e-07
0.0508449      	3.4477903e-07
0.0508764      	3.4481456e-07
0.0509079      	3.4484895e-07
0.0509394      	3.4488331e-07
0.0509708      	3.4491652e-07
0.0510023      	3.4494977e-07
0.0510337      	3.4498266e-07
0.0510652      	3.4501553e-07
0.0510966      	3.4504726e-07
0.051128       	3.4507897e-07
0.0511594      	3.4510956e-07
0.0511907      	3.4514013e-07
0.0512221      	3.4516959e-07
0.0512534      	3.4519904e-07
0.0512848      	3.4522738e-07
0.0513161      	3.4525572e-07
0.0513474      	3.4528297e-07
0.0513787      	3.4531021e-07
0.0514099      	3.4533637e-07
0.0514412      	3.4536255e-07
0.0514725      	3.4538764e-07
