# Region type : patch Rc1_sub1
# Faces        : 104
# Area         : 2.5103088e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	3.4909956e-10
0.000132       	7.6958424e-10
0.0002184      	1.2732173e-09
0.00032208     	1.8798048e-09
0.000446496    	2.6078730e-09
0.000595795    	3.4864880e-09
0.000774954    	4.5419917e-09
0.000989945    	5.8146946e-09
0.00124793     	7.3395473e-09
0.00155752     	9.1683728e-09
0.00192903     	1.1340869e-08
0.00237483     	1.3914289e-08
0.0029098      	1.6922966e-08
0.00355176     	2.0423789e-08
0.00429766     	2.4322089e-08
0.00475367     	2.6702245e-08
0.00497034     	2.7800911e-08
0.00518395     	2.8884981e-08
0.00542139     	3.0066275e-08
0.00568505     	3.1378199e-08
0.00595404     	3.2693952e-08
0.0062143      	3.3974070e-08
0.0064687      	3.5207584e-08
0.00672407     	3.6454112e-08
0.00698341     	3.7704709e-08
0.00724555     	3.8978590e-08
0.00750815     	4.0242375e-08
0.00777023     	4.1518566e-08
0.0080321      	4.2784440e-08
0.0082944      	4.4069909e-08
0.00855734     	4.5351852e-08
0.00882082     	4.6656796e-08
0.00908464     	4.7959922e-08
0.00934862     	4.9288361e-08
0.00961275     	5.0615445e-08
0.00987705     	5.1967966e-08
0.0101415      	5.3319374e-08
0.0104062      	5.4696163e-08
0.0106709      	5.6074397e-08
0.0109358      	5.7480399e-08
0.0112007      	5.8888803e-08
0.0114658      	6.0325825e-08
0.0117309      	6.1765971e-08
0.0119961      	6.3235383e-08
0.0122614      	6.4711900e-08
0.0125268      	6.6218224e-08
0.0127923      	6.7728516e-08
0.0130547      	6.9250587e-08
0.0133104      	7.0734088e-08
0.0135598      	7.2208580e-08
0.0138031      	7.3650737e-08
0.0140406      	7.5083906e-08
0.0142724      	7.6488251e-08
0.0144989      	7.7884584e-08
0.0147204      	7.9251491e-08
0.0149373      	8.0611616e-08
0.0151497      	8.1941818e-08
0.0153579      	8.3265184e-08
0.0155621      	8.4562867e-08
0.0157624      	8.5855491e-08
0.0159592      	8.7123890e-08
0.0161525      	8.8388061e-08
0.0163424      	8.9629392e-08
0.0165292      	9.0867113e-08
0.016713       	9.2083180e-08
0.0168938      	9.3296124e-08
0.0170719      	9.4489876e-08
0.0172473      	9.5682962e-08
0.0174201      	9.6856373e-08
0.0175903      	9.8027517e-08
0.0177582      	9.9179921e-08
0.0179238      	1.0033045e-07
0.0180872      	1.0146135e-07
0.0182484      	1.0258922e-07
0.0184075      	1.0369999e-07
0.0185646      	1.0480956e-07
0.0187197      	1.0590270e-07
0.0188729      	1.0699492e-07
0.0190244      	1.0807187e-07
0.019174       	1.0915081e-07
0.0193219      	1.1021453e-07
0.0194682      	1.1127778e-07
0.0196128      	1.1232640e-07
0.0197558      	1.1337476e-07
0.0198973      	1.1440901e-07
0.0200373      	1.1544238e-07
0.0201759      	1.1645986e-07
0.020313       	1.1747747e-07
0.0204487      	1.1848193e-07
0.0205831      	1.1948667e-07
0.0207162      	1.2047869e-07
0.020848       	1.2147115e-07
0.0209786      	1.2245128e-07
0.0211079      	1.2343200e-07
0.0212361      	1.2440076e-07
0.0213631      	1.2537023e-07
0.021489       	1.2632809e-07
0.0216137      	1.2728676e-07
0.0217374      	1.2823415e-07
0.02186        	1.2918248e-07
0.0219815      	1.3011985e-07
0.0221021      	1.3106075e-07
0.0222216      	1.3199140e-07
0.0223402      	1.3292313e-07
0.0224579      	1.3384446e-07
0.0225745      	1.3476696e-07
0.0226903      	1.3567934e-07
0.0228052      	1.3659296e-07
0.0229192      	1.3749670e-07
0.0230323      	1.3840094e-07
0.0231446      	1.3929350e-07
0.0232561      	1.4018746e-07
0.0233667      	1.4107202e-07
0.0234765      	1.4195803e-07
0.0235856      	1.4283487e-07
