# Region type : patch Rc1_sub1
# Faces        : 104
# Area         : 2.5103088e-06
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	3.4909956e-10
0.000132       	7.6958268e-10
0.0002184      	1.2732099e-09
0.00032208     	1.8797803e-09
0.000446496    	2.6078075e-09
0.000595795    	3.4863323e-09
0.000774954    	4.5416497e-09
0.000989945    	5.8139850e-09
0.00124793     	7.3381284e-09
0.00155752     	9.1656171e-09
0.00192903     	1.1335639e-08
0.00237483     	1.3904550e-08
0.0029098      	1.6905107e-08
0.00355176     	2.0391465e-08
0.00429765     	2.4267215e-08
0.00475382     	2.6632127e-08
0.00497048     	2.7722117e-08
0.00518408     	2.8796860e-08
0.00542151     	2.9966613e-08
0.00568516     	3.1264437e-08
0.00595414     	3.2564234e-08
0.0062144      	3.3827546e-08
0.00646879     	3.5043136e-08
0.00672414     	3.6270293e-08
0.00698347     	3.7499622e-08
0.0072456      	3.8750526e-08
0.0075082      	3.9989607e-08
0.00777027     	4.1239576e-08
0.00803213     	4.2477467e-08
0.00829441     	4.3733317e-08
0.00855734     	4.4983788e-08
0.00882083     	4.6255567e-08
0.00908463     	4.7523594e-08
0.00934861     	4.8815188e-08
0.00961272     	5.0103447e-08
0.00987701     	5.1415370e-08
0.0101415      	5.2724189e-08
0.0104061      	5.4056541e-08
0.0106708      	5.5388230e-08
0.0109356      	5.6745775e-08
0.0112005      	5.8103598e-08
0.0114655      	5.9488122e-08
0.0117307      	6.0873590e-08
0.0119958      	6.2286317e-08
0.0122611      	6.3703910e-08
0.0125265      	6.5149250e-08
0.0127919      	6.6596240e-08
0.0130543      	6.8053583e-08
0.0133099      	6.9471876e-08
0.0135591      	7.0880949e-08
0.0138025      	7.2257576e-08
0.01404        	7.3625219e-08
0.0142718      	7.4963725e-08
0.0144983      	7.6294132e-08
0.0147199      	7.7594803e-08
0.0149367      	7.8888586e-08
0.0151492      	8.0152183e-08
0.0153574      	8.1408948e-08
0.0155616      	8.2639801e-08
0.0157619      	8.3865669e-08
0.0159587      	8.5067074e-08
0.016152       	8.6264146e-08
0.0163419      	8.7438076e-08
0.0165288      	8.8608277e-08
0.0167125      	8.9756529e-08
0.0168934      	9.0901576e-08
0.0170714      	9.2027157e-08
0.0172468      	9.3152026e-08
0.0174196      	9.4257006e-08
0.0175899      	9.5359643e-08
0.0177578      	9.6443297e-08
0.0179234      	9.7525011e-08
0.0180867      	9.8586873e-08
0.0182479      	9.9645632e-08
0.0184071      	1.0068703e-07
0.0185642      	1.0172716e-07
0.0187193      	1.0275061e-07
0.0188726      	1.0377306e-07
0.019024       	1.0478001e-07
0.0191736      	1.0578887e-07
0.0193216      	1.0678231e-07
0.0194678      	1.0777521e-07
0.0196124      	1.0875325e-07
0.0197555      	1.0973099e-07
0.019897       	1.1069442e-07
0.020037       	1.1165694e-07
0.0201755      	1.1260337e-07
0.0203126      	1.1354990e-07
0.0204484      	1.1448308e-07
0.0205828      	1.1541649e-07
0.0207159      	1.1633699e-07
0.0208477      	1.1725790e-07
0.0209783      	1.1816631e-07
0.0211076      	1.1907529e-07
0.0212358      	1.1997213e-07
0.0213628      	1.2086967e-07
0.0214886      	1.2175542e-07
0.0216134      	1.2264197e-07
0.021737       	1.2351709e-07
0.0218597      	1.2439312e-07
0.0219812      	1.2525803e-07
0.0221018      	1.2612644e-07
0.0222213      	1.2698447e-07
0.0223399      	1.2784357e-07
0.0224576      	1.2869212e-07
0.0225742      	1.2954181e-07
0.02269        	1.3038123e-07
0.0228049      	1.3122190e-07
0.0229189      	1.3205254e-07
0.023032       	1.3288370e-07
0.0231443      	1.3370302e-07
0.0232558      	1.3452374e-07
0.0233664      	1.3533491e-07
0.0234763      	1.3614753e-07
0.0235853      	1.3695082e-07
0.0236936      	1.3775561e-07
0.0238011      	1.3855128e-07
0.0239079      	1.3934850e-07
0.024014       	1.4013681e-07
0.0241193      	1.4092673e-07
0.0242239      	1.4170793e-07
0.0243279      	1.4249074e-07
0.0244311      	1.4326501e-07
0.0245337      	1.4404095e-07
0.0246356      	1.4480853e-07
0.0247369      	1.4557783e-07
0.0248375      	1.4633893e-07
0.0249375      	1.4710177e-07
0.0250369      	1.4785759e-07
0.0251357      	1.4861689e-07
0.0252339      	1.4936828e-07
0.0253315      	1.5012145e-07
0.0254285      	1.5086687e-07
0.0255249      	1.5161408e-07
0.0256208      	1.5235368e-07
0.0257161      	1.5309510e-07
0.0258108      	1.5382904e-07
0.0259051      	1.5456484e-07
0.0259987      	1.5529331e-07
0.0260919      	1.5602101e-07
0.0261846      	1.5674145e-07
0.0262767      	1.5746381e-07
0.0263683      	1.5817904e-07
0.0264595      	1.5889618e-07
0.0265501      	1.5960631e-07
0.0266403      	1.6031836e-07
0.02673        	1.6102351e-07
0.0268192      	1.6173059e-07
0.0269079      	1.6243089e-07
0.0269962      	1.6313314e-07
0.0270841      	1.6383122e-07
0.0271715      	1.6453137e-07
0.0272584      	1.6522488e-07
0.027345       	1.6592036e-07
0.0274311      	1.6660931e-07
0.0275167      	1.6730023e-07
0.027602       	1.6798471e-07
0.0276868      	1.6867117e-07
0.0277713      	1.6935129e-07
0.0278553      	1.7003339e-07
0.0279389      	1.7070924e-07
0.0280222      	1.7138640e-07
0.028105       	1.7205551e-07
0.0281875      	1.7272663e-07
0.0282696      	1.7339168e-07
0.0283513      	1.7405873e-07
0.0284326      	1.7471978e-07
0.0285136      	1.7538283e-07
0.0285942      	1.7603996e-07
0.0286744      	1.7669908e-07
0.0287543      	1.7735237e-07
0.0288339      	1.7800765e-07
0.0289131      	1.7865717e-07
