# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	6.1795231e-08
0.000132       	1.3642144e-07
0.0002184      	2.2666547e-07
0.00032208     	3.3593975e-07
0.000446496    	4.6849507e-07
0.000595795    	6.2959385e-07
0.000774954    	8.2586294e-07
0.000989945    	1.0656119e-06
0.00124793     	1.3595014e-06
0.00155752     	1.7210132e-06
0.00192903     	2.1676400e-06
0.00237483     	2.7218596e-06
0.0029098      	3.4134730e-06
0.00355176     	4.2816687e-06
0.00429766     	5.3432145e-06
0.00475367     	6.0199169e-06
0.00497034     	6.3488833e-06
0.00518395     	6.6776466e-06
0.00542139     	7.0485171e-06
0.00568505     	7.4669525e-06
0.00595404     	7.9011343e-06
0.0062143      	8.3283858e-06
0.0064687      	8.7527228e-06
0.00672407     	9.1851989e-06
0.00698341     	9.6312121e-06
0.00724555     	1.0088519e-05
0.00750815     	1.0553606e-05
0.00777023     	1.1024589e-05
0.0080321      	1.1502163e-05
0.0082944      	1.1987327e-05
0.00855734     	1.2480673e-05
0.00882082     	1.2981926e-05
0.00908464     	1.3490974e-05
0.00934862     	1.4007605e-05
0.00961275     	1.4531588e-05
0.00987705     	1.5062862e-05
0.0101415      	1.5601287e-05
0.0104062      	1.6146715e-05
0.0106709      	1.6699454e-05
0.0109358      	1.7259360e-05
0.0112007      	1.7826558e-05
0.0114658      	1.8400924e-05
0.0117309      	1.8982578e-05
0.0119961      	1.9571388e-05
0.0122614      	2.0168098e-05
0.0125268      	2.0771992e-05
0.0127923      	2.1383184e-05
0.0130547      	2.1994198e-05
0.0133104      	2.2595561e-05
0.0135598      	2.3188300e-05
0.0138031      	2.3772922e-05
0.0140406      	2.4348959e-05
0.0142724      	2.4917418e-05
0.0144989      	2.5478093e-05
0.0147204      	2.6031479e-05
0.0149373      	2.6577846e-05
0.0151497      	2.7117179e-05
0.0153579      	2.7649956e-05
0.0155621      	2.8176738e-05
0.0157624      	2.8697699e-05
0.0159592      	2.9213166e-05
0.0161525      	2.9723280e-05
0.0163424      	3.0228335e-05
0.0165292      	3.0728444e-05
0.016713       	3.1223871e-05
0.0168938      	3.1714709e-05
0.0170719      	3.2201435e-05
0.0172473      	3.2684235e-05
0.0174201      	3.3162972e-05
0.0175903      	3.3637705e-05
0.0177582      	3.4108635e-05
0.0179238      	3.4575810e-05
0.0180872      	3.5039107e-05
0.0182484      	3.5498605e-05
0.0184075      	3.5954748e-05
0.0185646      	3.6407562e-05
0.0187197      	3.6857209e-05
0.0188729      	3.7303710e-05
0.0190244      	3.7747304e-05
0.019174       	3.8188386e-05
0.0193219      	3.8626621e-05
0.0194682      	3.9062021e-05
0.0196128      	3.9494717e-05
0.0197558      	3.9924715e-05
0.0198973      	4.0352140e-05
0.0200373      	4.0776846e-05
0.0201759      	4.1198699e-05
0.020313       	4.1618100e-05
0.0204487      	4.2035162e-05
0.0205831      	4.2449879e-05
0.0207162      	4.2862359e-05
0.020848       	4.3272593e-05
0.0209786      	4.3680683e-05
0.0211079      	4.4086621e-05
0.0212361      	4.4490503e-05
0.0213631      	4.4892317e-05
0.021489       	4.5292158e-05
0.0216137      	4.5690010e-05
0.0217374      	4.6085966e-05
0.02186        	4.6480008e-05
0.0219815      	4.6872223e-05
0.0221021      	4.7263037e-05
0.0222216      	4.7652167e-05
0.0223402      	4.8039517e-05
0.0224579      	4.8425168e-05
0.0225745      	4.8809099e-05
0.0226903      	4.9191389e-05
0.0228052      	4.9572019e-05
0.0229192      	4.9951063e-05
0.0230323      	5.0328356e-05
0.0231446      	5.0703754e-05
0.0232561      	5.1077599e-05
0.0233667      	5.1449964e-05
0.0234765      	5.1820826e-05
