# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	6.1795231e-08
0.000132       	1.3642144e-07
0.0002184      	2.2666550e-07
0.00032208     	3.3593986e-07
0.000446496    	4.6849537e-07
0.000595795    	6.2959457e-07
0.000774954    	8.2586451e-07
0.000989945    	1.0656152e-06
0.00124793     	1.3595080e-06
0.00155752     	1.7210261e-06
0.00192903     	2.1676642e-06
0.00237483     	2.7219044e-06
0.0029098      	3.4135547e-06
0.00355176     	4.2818147e-06
0.00429765     	5.3434570e-06
0.00475382     	6.0204793e-06
0.00497048     	6.3494772e-06
0.00518408     	6.6782676e-06
0.00542151     	7.0491749e-06
0.00568516     	7.4676737e-06
0.00595414     	7.9019334e-06
0.0062144      	8.3292657e-06
0.00646879     	8.7536857e-06
0.00672414     	9.1862492e-06
0.00698347     	9.6323647e-06
0.0072456      	1.0089791e-05
0.0075082      	1.0555010e-05
0.00777027     	1.1026127e-05
0.00803213     	1.1503837e-05
0.00829441     	1.1989146e-05
0.00855734     	1.2482658e-05
0.00882083     	1.2984099e-05
0.00908463     	1.3493342e-05
0.00934861     	1.4010165e-05
0.00961272     	1.4534347e-05
0.00987701     	1.5065827e-05
0.0101415      	1.5604470e-05
0.0104061      	1.6150122e-05
0.0106708      	1.6703084e-05
0.0109356      	1.7263213e-05
0.0112005      	1.7830639e-05
0.0114655      	1.8405246e-05
0.0117307      	1.8987153e-05
0.0119958      	1.9576221e-05
0.0122611      	2.0173199e-05
0.0125265      	2.0777365e-05
0.0127919      	2.1388840e-05
0.0130543      	2.2000085e-05
0.0133099      	2.2601680e-05
0.0135591      	2.3194653e-05
0.0138025      	2.3779661e-05
0.01404        	2.4356136e-05
0.0142718      	2.4925035e-05
0.0144983      	2.5486152e-05
0.0147199      	2.6039982e-05
0.0149367      	2.6586795e-05
0.0151492      	2.7126576e-05
0.0153574      	2.7659802e-05
0.0155616      	2.8187034e-05
0.0157619      	2.8708445e-05
0.0159587      	2.9224365e-05
0.016152       	2.9734933e-05
0.0163419      	3.0240444e-05
0.0165288      	3.0741010e-05
0.0167125      	3.1236896e-05
0.0168934      	3.1728195e-05
0.0170714      	3.2215382e-05
0.0172468      	3.2698646e-05
0.0174196      	3.3177848e-05
0.0175899      	3.3653048e-05
0.0177578      	3.4124447e-05
0.0179234      	3.4592092e-05
0.0180867      	3.5055861e-05
0.0182479      	3.5515833e-05
0.0184071      	3.5972449e-05
0.0185642      	3.6425740e-05
0.0187193      	3.6875865e-05
0.0188726      	3.7322844e-05
0.019024       	3.7766917e-05
0.0191736      	3.8208481e-05
0.0193216      	3.8647200e-05
0.0194678      	3.9083085e-05
0.0196124      	3.9516267e-05
0.0197555      	3.9946752e-05
0.019897       	4.0374666e-05
0.020037       	4.0799863e-05
0.0201755      	4.1222208e-05
0.0203126      	4.1642102e-05
0.0204484      	4.2059658e-05
0.0205828      	4.2474870e-05
0.0207159      	4.2887846e-05
0.0208477      	4.3298577e-05
0.0209783      	4.3707167e-05
0.0211076      	4.4113604e-05
0.0212358      	4.4517987e-05
0.0213628      	4.4920304e-05
0.0214886      	4.5320648e-05
0.0216134      	4.5719005e-05
0.021737       	4.6115466e-05
0.0218597      	4.6510014e-05
0.0219812      	4.6902738e-05
0.0221018      	4.7294059e-05
0.0222213      	4.7683699e-05
0.0223399      	4.8071560e-05
0.0224576      	4.8457722e-05
0.0225742      	4.8842166e-05
0.02269        	4.9224971e-05
0.0228049      	4.9606115e-05
0.0229189      	4.9985675e-05
0.023032       	5.0363486e-05
0.0231443      	5.0739402e-05
0.0232558      	5.1113766e-05
0.0233664      	5.1486651e-05
0.0234763      	5.1858032e-05
