# Region type : patch inlet
# Faces        : 43858
# Area         : 7.2615141e-04
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	-6.3278160e-08
0.000132       	-1.3969285e-07
0.0002184      	-2.3208299e-07
0.00032208     	-3.4394835e-07
0.000446496    	-4.7962274e-07
0.000595795    	-6.4449981e-07
0.000774954    	-8.4532991e-07
0.000989945    	-1.0906138e-06
0.00124793     	-1.3911908e-06
0.00155752     	-1.7608118e-06
0.00192903     	-2.2172108e-06
0.00237483     	-2.7832211e-06
0.0029098      	-3.4889494e-06
0.00355176     	-4.3740536e-06
0.00429766     	-5.4551103e-06
0.00475367     	-6.1440534e-06
0.00497034     	-6.4787995e-06
0.00518395     	-6.8133094e-06
0.00542139     	-7.1905170e-06
0.00568505     	-7.6160524e-06
0.00595404     	-8.0574445e-06
0.0062143      	-8.4917649e-06
0.0064687      	-8.9229904e-06
0.00672407     	-9.3624707e-06
0.00698341     	-9.8155823e-06
0.00724555     	-1.0280158e-05
0.00750815     	-1.0752522e-05
0.00777023     	-1.1230878e-05
0.0080321      	-1.1715825e-05
0.0082944      	-1.2208493e-05
0.00855734     	-1.2709372e-05
0.00882082     	-1.3218302e-05
0.00908464     	-1.3735059e-05
0.00934862     	-1.4259544e-05
0.00961275     	-1.4791411e-05
0.00987705     	-1.5330713e-05
0.0101415      	-1.5877194e-05
0.0104062      	-1.6430818e-05
0.0106709      	-1.6991788e-05
0.0109358      	-1.7560072e-05
0.0112007      	-1.8135684e-05
0.0114658      	-1.8718614e-05
0.0117309      	-1.9308869e-05
0.0119961      	-1.9906429e-05
0.0122614      	-2.0511940e-05
0.0125268      	-2.1124786e-05
0.0127923      	-2.1744966e-05
0.0130547      	-2.2365010e-05
0.0133104      	-2.2975190e-05
0.0135598      	-2.3576663e-05
0.0138031      	-2.4169839e-05
0.0140406      	-2.4754346e-05
0.0142724      	-2.5331108e-05
0.0144989      	-2.5900012e-05
0.0147204      	-2.6461463e-05
0.0149373      	-2.7015831e-05
0.0151497      	-2.7563001e-05
0.0153579      	-2.8103556e-05
0.0155621      	-2.8637974e-05
0.0157624      	-2.9166522e-05
0.0159592      	-2.9689444e-05
0.0161525      	-3.0206970e-05
0.0163424      	-3.0719314e-05
0.0165292      	-3.1226674e-05
0.016713       	-3.1729236e-05
0.0168938      	-3.2227174e-05
0.0170719      	-3.2720898e-05
0.0172473      	-3.3210674e-05
0.0174201      	-3.3696283e-05
0.0175903      	-3.4177862e-05
0.0177582      	-3.4655539e-05
0.0179238      	-3.5129437e-05
0.0180872      	-3.5599357e-05
0.0182484      	-3.6065451e-05
0.0184075      	-3.6528100e-05
0.0185646      	-3.6987402e-05
0.0187197      	-3.7443453e-05
0.0188729      	-3.7896340e-05
0.0190244      	-3.8346242e-05
0.019174       	-3.8793628e-05
0.0193219      	-3.9238090e-05
0.0194682      	-3.9679703e-05
0.0196128      	-4.0118538e-05
0.0197558      	-4.0554663e-05
0.0198973      	-4.0988143e-05
0.0200373      	-4.1418891e-05
0.0201759      	-4.1846708e-05
0.020313       	-4.2272064e-05
0.0204487      	-4.2695013e-05
0.0205831      	-4.3115611e-05
0.0207162      	-4.3533906e-05
0.020848       	-4.3949949e-05
0.0209786      	-4.4363788e-05
0.0211079      	-4.4775466e-05
0.0212361      	-4.5185030e-05
0.0213631      	-4.5592521e-05
0.021489       	-4.5997980e-05
0.0216137      	-4.6401447e-05
0.0217374      	-4.6802961e-05
0.02186        	-4.7202557e-05
0.0219815      	-4.7600273e-05
0.0221021      	-4.7996594e-05
0.0222216      	-4.8391181e-05
0.0223402      	-4.8783985e-05
0.0224579      	-4.9175038e-05
0.0225745      	-4.9564370e-05
0.0226903      	-4.9952011e-05
0.0228052      	-5.0337990e-05
0.0229192      	-5.0722334e-05
0.0230323      	-5.1104923e-05
0.0231446      	-5.1485561e-05
0.0232561      	-5.1864646e-05
0.0233667      	-5.2242204e-05
0.0234765      	-5.2618258e-05
0.0235856      	-5.2992833e-05
0.0236939      	-5.3365951e-05
0.0238014      	-5.3737635e-05
0.0239082      	-5.4107905e-05
0.0240142      	-5.4476784e-05
0.0241196      	-5.4844292e-05
0.0242242      	-5.5210449e-05
0.0243281      	-5.5575274e-05
0.0244314      	-5.5938787e-05
0.024534       	-5.6301006e-05
0.0246359      	-5.6661949e-05
