# Region type : patch inlet
# Faces        : 43858
# Area         : 7.2615141e-04
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
6e-05          	-6.3278160e-08
0.000132       	-1.3969285e-07
0.0002184      	-2.3208299e-07
0.00032208     	-3.4394835e-07
0.000446496    	-4.7962274e-07
0.000595795    	-6.4449981e-07
0.000774954    	-8.4532991e-07
0.000989945    	-1.0906138e-06
0.00124793     	-1.3911908e-06
0.00155752     	-1.7608118e-06
0.00192903     	-2.2172108e-06
0.00237483     	-2.7832211e-06
0.0029098      	-3.4889494e-06
0.00355176     	-4.3740536e-06
0.00429765     	-5.4551009e-06
0.00475382     	-6.1442914e-06
0.00497048     	-6.4790266e-06
0.00518408     	-6.8135169e-06
0.00542151     	-7.1907024e-06
0.00568516     	-7.6162279e-06
0.00595414     	-8.0576134e-06
0.0062144      	-8.4919242e-06
0.00646879     	-8.9231352e-06
0.00672414     	-9.3625963e-06
0.00698347     	-9.8156920e-06
0.0072456      	-1.0280258e-05
0.0075082      	-1.0752614e-05
0.00777027     	-1.1230955e-05
0.00803213     	-1.1715878e-05
0.00829441     	-1.2208519e-05
0.00855734     	-1.2709382e-05
0.00882083     	-1.3218307e-05
0.00908463     	-1.3735052e-05
0.00934861     	-1.4259513e-05
0.00961272     	-1.4791349e-05
0.00987701     	-1.5330615e-05
0.0101415      	-1.5877058e-05
0.0104061      	-1.6430639e-05
0.0106708      	-1.6991551e-05
0.0109356      	-1.7559764e-05
0.0112005      	-1.8135297e-05
0.0114655      	-1.8718147e-05
0.0117307      	-1.9308319e-05
0.0119958      	-1.9905787e-05
0.0122611      	-2.0511201e-05
0.0125265      	-2.1123940e-05
0.0127919      	-2.1744009e-05
0.0130543      	-2.2363878e-05
0.0133099      	-2.2973881e-05
0.0135591      	-2.3575175e-05
0.0138025      	-2.4168320e-05
0.01404        	-2.4752848e-05
0.0142718      	-2.5329630e-05
0.0144983      	-2.5898554e-05
0.0147199      	-2.6460024e-05
0.0149367      	-2.7014410e-05
0.0151492      	-2.7561599e-05
0.0153574      	-2.8102170e-05
0.0155616      	-2.8636604e-05
0.0157619      	-2.9165166e-05
0.0159587      	-2.9688103e-05
0.016152       	-3.0205643e-05
0.0163419      	-3.0717999e-05
0.0165288      	-3.1225372e-05
0.0167125      	-3.1727946e-05
0.0168934      	-3.2225896e-05
0.0170714      	-3.2719629e-05
0.0172468      	-3.3209416e-05
0.0174196      	-3.3695036e-05
0.0175899      	-3.4176625e-05
0.0177578      	-3.4654312e-05
0.0179234      	-3.5128220e-05
0.0180867      	-3.5598150e-05
0.0182479      	-3.6064253e-05
0.0184071      	-3.6526911e-05
0.0185642      	-3.6986222e-05
0.0187193      	-3.7442281e-05
0.0188726      	-3.7895176e-05
0.019024       	-3.8345084e-05
0.0191736      	-3.8792478e-05
0.0193216      	-3.9236947e-05
0.0194678      	-3.9678568e-05
0.0196124      	-4.0117410e-05
0.0197555      	-4.0553542e-05
0.019897       	-4.0987029e-05
0.020037       	-4.1417785e-05
0.0201755      	-4.1845608e-05
0.0203126      	-4.2270970e-05
0.0204484      	-4.2693926e-05
0.0205828      	-4.3114529e-05
0.0207159      	-4.3532830e-05
0.0208477      	-4.3948879e-05
0.0209783      	-4.4362723e-05
0.0211076      	-4.4774408e-05
0.0212358      	-4.5183977e-05
0.0213628      	-4.5591473e-05
0.0214886      	-4.5996937e-05
0.0216134      	-4.6400409e-05
0.021737       	-4.6801928e-05
0.0218597      	-4.7201529e-05
0.0219812      	-4.7599250e-05
0.0221018      	-4.7995574e-05
0.0222213      	-4.8390166e-05
0.0223399      	-4.8782974e-05
0.0224576      	-4.9174032e-05
0.0225742      	-4.9563368e-05
0.02269        	-4.9951013e-05
0.0228049      	-5.0336996e-05
0.0229189      	-5.0721345e-05
0.023032       	-5.1103939e-05
0.0231443      	-5.1484581e-05
0.0232558      	-5.1863670e-05
0.0233664      	-5.2241232e-05
0.0234763      	-5.2617290e-05
0.0235853      	-5.2991869e-05
0.0236936      	-5.3364991e-05
0.0238011      	-5.3736678e-05
0.0239079      	-5.4106952e-05
0.024014       	-5.4475835e-05
0.0241193      	-5.4843346e-05
0.0242239      	-5.5209506e-05
0.0243279      	-5.5574335e-05
0.0244311      	-5.5937851e-05
0.0245337      	-5.6300073e-05
0.0246356      	-5.6661020e-05
0.0247369      	-5.7020708e-05
